,Norway,Estonia,Poland,Australia,Vanuatu,New Zealand,China,Vietnam,Georgia,United States,Jamaica,Mexico,Argentina,Brazil,Chile,Nigeria,Morocco,Namibia,Middle income,Low income,High income,World
1960.0,,,,,,,,,,,,,,,,,,,,,,
1961.0,,,,,,,,,,,,,,,,,,,,,,
1962.0,,,,,,,,,,,,,,,,,,,,,,
1963.0,,,,,,,,,,,,,,,,,,,,,,
1964.0,,,,,,,,,,,,,,,,,,,,,,
1965.0,,,,,,,,,,,,,,,,,,,,,,
1966.0,,,,,,,,,,,,,,,,,,,,,,
1967.0,,,,,,,,,,,,,,,,,,,,,,
1968.0,,,,,,,,,,,,,,,,,,,,,,
1969.0,,,,,,,,,,,,,,,,,,,,,,
1970.0,,,,,,,,,,,,,,,,,,,,,,
1971.0,,,,,,,,,,,,,,,,,,,,,,
1972.0,,,,,,,,,,,,,,,,,,,,,,
1973.0,,,,,,,,,,,,,,,,,,,,,,
1974.0,,,,,,,,,,,,,,,,,,,,,,
1975.0,,,,,,,,,,,,,,,,,,,,,,
1976.0,,,,,,,,,,,,,,,,,,,,,,
1977.0,,,,,,,,,,,,,,,,,,,,,,
1978.0,,,,,,,,,,,,,,,,,,,,,,
1979.0,,,,,,,,,,,,,,,,,,,,,,
1980.0,,,,,,,,,,,,,,,,,,,,,,
1981.0,,,,,,,,,,,,,,,,,,,,,,
1982.0,,,,,,,,,,,,,,,,,,,,,,
1983.0,,,,,,,,,,,,,,,,,,,,,,
1984.0,,,,,,,,,,,,,,,,,,,,,,
1985.0,,,,,,,,,,,,,,,,,,,,,,
1986.0,,,,,,,,,,,,,,,,,,,,,,
1987.0,,,,,,,,,,,,,,,,,,,,,,
1988.0,,,,,,,,,,,,,,,,,,,,,,
1989.0,,,,,,,,,,,,,,,,,,,,,,
1990.0,100.0,100.0,100.0,100.0,,100.0,99.0649948120117,,,100.0,82.110334,,,97.53868100000001,98.846714,82.4,,,,,99.9671959996344,
1991.0,100.0,100.0,100.0,100.0,,100.0,99.17877197265629,,,100.0,84.30821228027341,,,98.1487350463867,99.1908721923828,83.39483642578129,,,,,99.97321137530321,
1992.0,100.0,100.0,100.0,100.0,,100.0,99.2919235229492,,,100.0,85.1943130493164,98.584698,,97.523788,99.107534,83.4986267089844,84.7,66.0,,,99.9702839902393,97.1875108904496
1993.0,100.0,100.0,100.0,100.0,,100.0,99.4012832641602,,,100.0,86.07662963867192,99.10531616210942,,98.033975,99.356689453125,83.5986404418945,89.8693389892578,71.0,93.03211939040578,,99.97679726783991,94.9775346388171
1994.0,100.0,100.0,100.0,100.0,74.245849609375,100.0,99.50308227539058,,,100.0,86.9513778686523,99.25589000000001,,98.5644989013672,99.4301376342773,83.6910781860352,90.3660888671875,70.1978607177734,93.8775478793874,,99.97847376235309,95.4853658468043
1995.0,100.0,100.0,100.0,100.0,74.98353576660159,100.0,99.5935211181641,,,100.0,87.8147659301758,99.2489700317383,,98.58969599999999,99.4922332763672,83.7721633911133,90.6,70.5008316040039,94.0306338401492,,99.9808739783367,95.54476568844471
1996.0,100.0,100.0,100.0,100.0,75.7060852050781,100.0,99.66883087158199,,,100.0,92.356928,99.076735,,98.915038,99.441775,83.8381118774414,91.3217391967773,70.7886657714844,94.1390011038043,,99.98098396426599,95.40490362317499
1997.0,100.0,100.0,100.0,100.0,76.4097061157227,100.0,99.72521209716801,98.6,,100.0,89.4923553466797,99.3320770263672,,99.056926,99.5672225952148,83.8851318359375,91.77307891845699,71.0575790405273,94.68004700970629,,99.983075277993,95.49110380362178
1998.0,100.0,100.0,100.0,100.0,77.09217834472659,100.0,99.7604446411133,98.9234848022461,,100.0,90.300537109375,99.17506999999999,,99.137016,99.667146,83.9110107421875,92.2032699584961,71.3053436279297,94.601322386247,,99.9848704159672,95.35752783681819
1999.0,100.0,100.0,100.0,100.0,77.75750732421879,100.0,99.7785263061523,98.9722900390625,,100.0,88.49866,99.3368072509766,,99.186252,99.56385040283199,84.3,92.61630249023442,71.53594970703129,95.333679168926,,99.9827340998534,95.7660446581279
2000.0,100.0,100.0,100.0,100.0,78.41123962402341,100.0,100.0,99.0095062255859,,100.0,91.8710098266602,99.430718,,99.02935791015629,99.782113,83.9168701171875,98.48,73.2,95.3273967581118,46.22204988333571,99.98690764803021,95.2170516343323
2001.0,100.0,100.0,100.0,100.0,79.0589294433594,100.0,99.7854690551758,99.0406875610352,,100.0,92.721311,99.295166015625,95.87694549560551,99.215119,99.51409912109379,83.9079666137695,93.4131546020508,71.96795654296879,94.6432673474213,46.9167751733764,99.9807002203057,94.72739622024228
2002.0,100.0,100.0,100.0,100.0,79.7061462402344,100.0,99.7854461669922,99.4,100.0,100.0,92.639077,99.526178,96.16051483154301,99.426994,99.48572540283199,83.8985824584961,93.8080825805664,72.1804580688477,95.0780016576133,52.5122114972254,99.9815797664178,94.97210496063241
2003.0,100.0,100.0,100.0,100.0,80.3584365844727,100.0,99.7904891967773,99.1071624755859,99.17202758789058,100.0,94.19534301757808,99.2516098022461,96.46656036376949,99.504184,99.70750699999999,84.9,94.2080841064453,72.3980407714844,95.3466450273848,53.132851076504295,99.98538957149479,95.1313336009987
2004.0,100.0,100.0,100.0,100.0,81.021240234375,100.0,99.8060531616211,99.1534576416016,99.1911468505859,100.0,94.98385620117192,99.39008199999999,96.77276611328129,99.585301,99.4496383666992,83.9004821777344,94.6,72.6261291503906,95.3389442979972,54.461399343401496,99.98162811822809,95.1316170143331
2005.0,100.0,100.0,100.0,100.0,81.6972885131836,100.0,99.8348617553711,99.6,98.31918788483941,100.0,95.78561401367192,99.605581,97.0568008422852,99.634816,99.45010375976558,83.91993713378909,95.04236602783199,72.8674697875977,95.5796304059348,56.75832101919929,99.9818598232947,95.2629338565537
2006.0,100.0,100.0,100.0,100.0,82.78,100.0,99.8769378662109,99.1,99.2691421508789,100.0,96.6006393432617,99.705865,97.29632568359379,99.708742,99.814949,83.9526596069336,99.26,73.1220779418945,95.9011713791098,57.603187658899095,99.9887354445826,95.4679974697888
2007.0,100.0,100.0,100.0,100.0,84.6029173419773,100.0,99.9334869384766,99.3717727661133,99.32794189453129,100.0,97.42884063720699,99.296142578125,97.4776763916016,99.781449,99.49073028564449,86.1628826386536,95.9296035766602,77.6,96.1758424021531,59.085926684008705,99.984002224558,95.6596403180715
2008.0,100.0,100.0,100.0,100.0,83.8046646118164,100.0,99.9753570556641,99.47081756591801,99.3998184204102,100.0,99.5,99.725953,97.62179565429692,99.821747,99.5307083129883,84.8,96.3928756713867,73.6707077026367,96.37288612167869,59.0416781422744,99.98529243724441,95.75095466467029
2009.0,100.0,100.0,100.0,100.0,82.3453386179562,100.0,99.99575805664058,99.6,99.4846725463867,100.0,99.1243667602539,99.3971786499023,97.75827026367192,99.85168,99.869036,84.12945556640629,96.86913299560551,78.4,96.86763706519291,57.18162000889,99.9907946456792,95.7878386936966
2010.0,100.0,100.0,100.0,100.0,85.2746276855469,100.0,100.0,99.707763671875,99.5824127197266,100.0,99.6697845458984,99.703549,99.7323455810547,99.7252044677734,99.6494979858398,79.8,97.3582763671875,74.27125549316409,96.7876285682891,58.4181137092471,99.9888595346101,95.7630615121472
2011.0,100.0,100.0,100.0,100.0,86.02850341796879,100.0,100.0,100.0,99.6926040649414,100.0,99.94314575195308,99.81231689453129,99.91480255126949,99.89857099999999,99.856911,87.1,97.85986328125,70.1,97.0030613984046,59.9367367328463,99.9924727966814,95.94790633257709
