,Norway,Estonia,Poland,Australia,Vanuatu,New Zealand,China,Vietnam,Georgia,United States,Jamaica,Mexico,Argentina,Brazil,Chile,Nigeria,Morocco,Namibia,Middle income,Low income,High income,World
1960.0,,,,,,,,,,,,,,,,,,,,,,
1961.0,,,,,,,,,,,,,,,,,,,,,,
1962.0,,,,,,,,,,,,,,,,,,,,,,
1963.0,,,,,,,,,,,,,,,,,,,,,,
1964.0,,,,,,,,,,,,,,,,,,,,,,
1965.0,,,,,,,,,,,,,,,,,,,,,,
1966.0,,,,,,,,,,,,,,,,,,,,,,
1967.0,,,,,,,,,,,,,,,,,,,,,,
1968.0,,,,,,,,,,,,,,,,,,,,,,
1969.0,,,,,,,,,,,,,,,,,,,,,,
1970.0,,,,,,,,,,,,,,,,,,,,,,
1971.0,,,,,,,,,,,,,,,,,,,,,,
1972.0,,,,,,,,,,,,,,,,,,,,,,
1973.0,,,,,,,,,,,,,,,,,,,,,,
1974.0,,,,,,,,,,,,,,,,,,,,,,
1975.0,,,,,,,,,,,,,,,,,,,,,,
1976.0,,,,,,,,,,,,,,,,,,,,,,
1977.0,,,,,,,,,,,,,,,,,,,,,,
1978.0,,,,,,,,,,,,,,,,,,,,,,
1979.0,,,,,,,,,,,,,,,,,,,,,,
1980.0,,,,,,,,,,,,,,,,,,,,,,
1981.0,,,,,,,,,,,,,,,,,,,,,,
1982.0,,,,,,,,,,,,,,,,,,,,,,
1983.0,,,,,,,,,,,,,,,,,,,,,,
1984.0,,,,,,,,,,,,,,,,,,,,,,
1985.0,,,,,,,,,,,,,,,,,,,,,,
1986.0,,,,,,,,,,,,,,,,,,,,,,
1987.0,,,,,,,,,,,,,,,,,,,,,,
1988.0,,,,,,,,,,,,,,,,,,,,,,
1989.0,,,,,,,,,,,,,,,,,,,,,,
1990.0,,,,,,,,,,,,,,,,,,,,,,
1991.0,23.260000228881804,37.0499992370605,36.189998626709,23.8250007629395,6.04500007629395,23.787000656127898,21.5930004119873,12.3009996414185,10.385000228881802,25.482000350952102,19.107000350952102,23.472000122070302,32.902999877929695,22.4769992828369,26.30299949646,12.059000015258801,20.261999130249,15.0480003356934,20.3260946077029,8.66626839113721,30.419714870325198,21.651692532497698
1992.0,23.118000030517603,36.002998352050795,34.8230018615723,23.576000213623,5.986999988555911,23.198999404907198,21.962999343872102,12.3809995651245,10.2440004348755,25.257999420166,19.0779991149902,23.048999786377,32.3540000915527,22.385999679565398,27.0990009307861,12.0930004119873,19.966999053955103,14.8999996185303,20.3088500946919,8.44624938907496,30.134241400871897,21.527138324844
1993.0,22.7439994812012,33.25,33.4269981384277,23.6030006408691,5.96600008010864,23.6860008239746,22.858999252319304,12.4770002365112,10.102999687194801,25.1860008239746,19.2089996337891,22.642999649047898,29.7180004119873,22.354000091552702,27.225000381469698,12.010999679565401,19.8059997558594,14.812000274658198,20.6025597121115,8.33606091463357,29.666175527526498,21.6117847103248
1994.0,23.0319995880127,32.495998382568395,31.9850006103516,23.4650001525879,6.1939997673034695,25.2639999389648,23.698999404907198,12.5,10.0970001220703,25.1340007781982,19.010999679565398,22.097999572753896,28.597000122070302,22.3899993896484,26.5909996032715,11.8690004348755,19.9680004119873,14.746000289917,20.853664005642102,8.30058469781753,29.2506995612848,21.696412733787604
1995.0,23.0580005645752,34.2299995422363,31.996000289917003,22.858999252319304,6.13100004196167,25.3409996032715,24.5620002746582,12.5279998779297,10.111000061035199,25.0219993591309,20.2119998931885,21.7560005187988,27.0909996032715,22.2329998016357,26.0580005645752,12.0100002288818,19.673999786377,14.576000213622999,21.053874102383602,8.56564423750859,29.1167544496557,21.823627158468
1996.0,23.027999877929698,33.652999877929695,31.6569995880127,22.4599990844727,6.1360001564025906,24.627000808715803,25.193000793457,12.605999946594201,10.133999824523901,24.8390007019043,20.318000793457,22.7849998474121,25.0030002593994,22.3129997253418,26.5930004119873,12.0349998474121,19.9869995117188,14.333000183105499,21.2445749393381,8.71618281514292,28.754479303956398,21.888537599945103
1997.0,23.4599990844727,33.4420013427734,31.4950008392334,22.1509990692139,6.2069997787475595,24.0410003662109,25.205999374389602,12.6800003051758,10.1709995269775,24.6650009155273,18.659000396728498,22.5669994354248,25.5610008239746,22.3530006408691,27.2929992675781,11.9899997711182,19.8880004882813,14.270999908447301,21.1981267566757,8.74378044989878,28.455493860974997,21.787656173132
1998.0,22.8050003051758,32.951999664306605,31.357000350952102,21.7980003356934,6.17899990081787,24.2360000610352,24.9659996032715,11.581000328064,10.192999839782699,24.517999649047898,18.274000167846697,24.9109992980957,24.899999618530302,22.266000747680696,25.527000427246104,11.807000160217301,19.9750003814697,13.626999855041499,20.8849139106812,8.74139283643767,28.064776244967398,21.4629106755983
1999.0,22.257999420166,31.6389999389648,31.2099990844727,21.3659992218018,6.1479997634887695,23.0990009307861,24.544000625610398,11.9910001754761,9.44900035858154,24.3719997406006,17.9810009002686,25.6590003967285,23.67799949646,21.527000427246104,23.422000885009798,11.819000244140598,19.826000213623,12.855999946594201,20.7906115599834,8.84327187940965,27.684727184538,21.3136240854945
2000.0,21.7859992980957,34.9930000305176,31.0590000152588,21.614999771118196,6.92000007629395,23.326000213623,24.309999465942397,12.4390001296997,9.80399990081787,24.4230003356934,16.9930000305176,27.065000534057603,22.780000686645497,21.2910003662109,23.3899993896484,11.9930000305176,19.9330005645752,12.305999755859402,20.719214932014502,8.77704653912091,27.4991373321373,21.2086816957152
2001.0,21.750999450683604,33.754001617431605,30.7299995422363,20.739000320434602,6.19099998474121,22.8799991607666,24.024000167846697,13.8999996185303,9.27700042724609,23.7350006103516,17.142999649047898,26.077999114990202,22.0170001983643,21.0380001068115,23.922000885009798,11.838000297546401,20.1200008392334,12.914999961853,20.7272248511845,8.85077967586879,27.0424065679739,21.114908743968698
2002.0,21.6770000457764,29.801000595092802,28.5349998474121,20.9150009155273,5.95300006866455,22.742000579834,23.739000320434602,14.6999998092651,8.22000026702881,22.743000030517603,17.3090000152588,25.086000442504897,20.2210006713867,21.4810009002686,23.8600006103516,12.0310001373291,20.1159992218018,13.477999687194801,20.727787143437396,9.00485156147829,26.3862696798832,20.9815466985686
2003.0,21.669000625610398,30.7000007629395,28.548999786377,20.882999420165998,5.868000030517581,22.4039993286133,23.9109992980957,16.4120006561279,8.35400009155273,22.4549999237061,17.451000213623,25.149000167846697,21.7919998168945,20.955999374389602,23.3980007171631,12.0100002288818,20.1760005950928,14.1569995880127,20.8772549798117,9.0477507307762,26.001762512261802,21.005822481838802
2004.0,20.7900009155273,33.9539985656738,29.0400009155273,21.2409992218018,5.83300018310547,22.8490009307861,24.6879997253418,17.3519992828369,8.83500003814697,22.377000808715803,18.256999969482397,25.0049991607666,22.693000793457,21.0839996337891,23.600000381469698,11.791999816894501,19.475999832153303,14.826000213622999,21.3855884455567,9.15832080543724,25.714046896915196,21.3241094091881
2005.0,20.8530006408691,34.074001312255895,29.249000549316396,21.1340007781982,5.9310002326965305,22.190000534057603,25.408000946044897,18.739000320434602,9.29199981689453,22.2849998474121,17.774000167846697,25.9389991760254,23.260999679565398,21.4270000457764,22.9500007629395,11.7239999771118,19.511999130249,14.427000045776401,21.8783261687973,9.31565647663551,25.3550793408843,21.6263803354217
2006.0,20.8229999542236,33.5410003662109,29.979000091552702,21.443000793457,6.14300012588501,22.5310001373291,26.149000167846697,20.1879997253418,9.04899978637695,22.3560009002686,17.756999969482397,26.190000534057603,23.6730003356934,21.395000457763697,23.2880001068115,11.5670003890991,20.304000854492198,14.251999855041499,22.3528970410563,9.52920430934044,25.3367226088439,21.9834910554221
