,Norway,Estonia,Poland,Australia,Vanuatu,New Zealand,China,Vietnam,Georgia,United States,Jamaica,Mexico,Argentina,Brazil,Chile,Nigeria,Morocco,Namibia,Middle income,Low income,High income,World
1960.0,,,,,,,,,,,,,,,,,,,,,,
1961.0,,,,,,,,,,,,,,,,,,,,,,
1962.0,,,,,,,,,,,,,,,,,,,,,,
1963.0,,,,,,,,,,,,,,,,,,,,,,
1964.0,,,,,,,,,,,,,,,,,,,,,,
1965.0,,,,,,,,,,,,,,,,,,,,,,
1966.0,,,,,,,,,,,,,,,,,,,,,,
1967.0,,,,,,,,,,,,,,,,,,,,,,
1968.0,,,,,,,,,,,,,,,,,,,,,,
1969.0,,,,,,,,,,,,,,,,,,,,,,
1970.0,,,,,,,,,,,,,,,,,,,,,,
1971.0,,,,,,,,,,,,,,,,,,,,,,
1972.0,,,,,,,,,,,,,,,,,,,,,,
1973.0,,,,,,,,,,,,,,,,,,,,,,
1974.0,,,,,,,,,,,,,,,,,,,,,,
1975.0,,,,,,,,,,,,,,,,,,,,,,
1976.0,,,,,,,,,,,,,,,,,,,,,,
1977.0,,,,,,,,,,,,,,,,,,,,,,
1978.0,,,,,,,,,,,,,,,,,,,,,,
1979.0,,,,,,,,,,,,,,,,,,,,,,
1980.0,,,,,,,,,,,,,,,,,,,,,,
1981.0,,,,,,,,,,,,,,,,,,,,,,
1982.0,,,,,,,,,,,,,,,,,,,,,,
1983.0,,,,,,,,,,,,,,,,,,,,,,
1984.0,,,,,,,,,,,,,,,,,,,,,,
1985.0,,,,,,,,,,,,,,,,,,,,,,
1986.0,,,,,,,,,,,,,,,,,,,,,,
1987.0,,,,,,,,,,,,,,,,,,,,,,
1988.0,,,,,,,,,,,,,,,,,,,,,,
1989.0,,,,,,,,,,,,,,,,,,,,,,
1990.0,,,,,,,,,,,,,,,,,,,,,,
1991.0,,,,38.6500015258789,,,,,,,,,,,,,,,,,,
1992.0,,,,37.5900001525879,,,,,,,,,,,,,,,,,,
1993.0,,,,39.8300018310547,,,,,,,,,,,,,,,,,,
1994.0,,,,38.7000007629395,,,,,,25.100000381469698,,,,,,,,,,,,
1995.0,40.7400016784668,,,39.2000007629395,,,,,,24.5900001525879,,,,,,,,,,,,
1996.0,40.75,,,41.310001373291,,,,,,24.5,,,,,,,,,,,28.4349304722812,
1997.0,38.5999984741211,19.159999847412102,14.3500003814697,39.47999954223629,,,,,,23.760000228881804,,,,,,,,,,,26.8586303523426,
1998.0,48.9099998474121,21.899999618530302,17.6900005340576,39.4000015258789,,,,,,25.2000007629395,,,,,,,,,,,28.0091100863661,
1999.0,50.25,20.0699996948242,22.9799995422363,39.3499984741211,,,,,,23.1599998474121,,,,,,,,,,,26.7675018864483,
2000.0,57.5999984741211,25.3199996948242,21.8700008392334,39.4900016784668,,,,,,21.7900009155273,,,,,,,,,,,26.3656813932507,
2001.0,56.6399993896484,22.190000534057603,24.469999313354503,42.779998779296896,,,,,,22.9500007629395,,,,,,,,,,,27.1832293640871,
2002.0,52.220001220703104,17.9699993133545,22.649999618530302,42.22999954223629,,,,,,22.8400001525879,,,,,,,,,,,28.3231597276389,
2003.0,54.4900016784668,20.8799991607666,23.030000686645497,41.3899993896484,,,,,,23.1399993896484,,,,,,,,,,,28.347028062680998,
2004.0,52.040000915527294,16.1800003051758,23.1599998474121,42.77000045776371,,,,,,23.25,,,37.2000007629395,,,,,,,,28.5028211198706,
2005.0,45.310001373290994,14.609999656677198,22.489999771118196,41.439998626709,,,,,,22.7700004577637,,22.6599998474121,35.3699989318848,,,,,,,,28.976229541430698,
2006.0,47.630001068115206,14.6599998474121,22.149999618530302,43.3499984741211,,,,,,22.4500007629395,,23.600000381469698,34.4799995422363,,,,,,,,29.154841144372302,
2007.0,47.9099998474121,14.5699996948242,21.940000534057603,45.4099998474121,,39.1399993896484,,,,22.2099990844727,,24.399999618530302,,,,,,,,,29.3696905276075,
2008.0,46.9500007629395,15.220000267028801,22.0499992370605,41.720001220703104,,39.560001373291,,,,22.969999313354503,,23.8400001525879,32.3699989318848,,,,,,,,29.885346214164,
2009.0,48.810001373290994,27.9200000762939,23.0200004577637,43.9300003051758,,40.6399993896484,,,,26.8899993896484,,25.0900001525879,33.7900009155273,,21.0799999237061,,,,,,31.670249721620802,
2010.0,48.5200004577637,25.2999992370605,23.0,43.6800003051758,,39.2599983215332,,,,25.239999771118196,,25.059999465942397,32.7900009155273,,27.9500007629395,,,,,,30.957342679727102,
2011.0,47.2999992370605,21.7700004577637,23.6100006103516,42.8699989318848,,40.189998626709,,,,24.9799995422363,,24.6800003051758,32.0999984741211,,28.6800003051758,,20.1200008392334,,,,30.813409806931,
2012.0,47.5999984741211,24.940000534057603,23.489999771118196,46.459999084472706,,41.1300010681152,,,,24.190000534057603,,25.010000228881804,33.279998779296896,26.399999618530302,28.9599990844727,,21.0499992370605,33.7999992370605,,,30.5701100312483,
2013.0,49.209999084472706,26.7999992370605,24.4599990844727,45.9000015258789,,39.8400001525879,,18.6499996185303,,23.5200004577637,,24.5499992370605,33.169998168945305,25.25,29.0,14.7600002288818,,33.1599998474121,,,31.391145120300198,
2014.0,47.029998779296896,27.100000381469698,23.219999313354503,43.5,,39.470001220703104,,20.4699993133545,,23.8700008392334,,24.3700008392334,34.169998168945305,24.7999992370605,29.760000228881804,,,19.0,,,31.0167054770215,
2015.0,48.4099998474121,28.25,22.489999771118196,45.470001220703104,,40.1699981689453,,20.7999992370605,,24.3199996948242,,24.5400009155273,,25.2099990844727,28.8899993896484,,,,,,31.856211309505202,
2016.0,47.1100006103516,25.7700004577637,22.0799999237061,43.6599998474121,,41.0800018310547,,19.2900009155273,,22.899999618530302,,23.850000381469698,,23.7999992370605,29.7299995422363,,,20.8199996948242,,,31.4679191983624,
2017.0,47.6399993896484,26.0900001525879,22.780000686645497,45.790000915527294,,41.189998626709,,22.4799995422363,39.930000305175795,22.899999618530302,11.0600004196167,23.2099990844727,37.3300018310547,25.9300003051758,30.0400009155273,,,,,,31.4541741222646,
2018.0,48.4900016784668,29.0,25.6800003051758,,,,,,,21.8700008392334,,22.9200000762939,37.790000915527294,27.3400001525879,30.5699996948242,,,25.6100006103516,,,30.6650526051477,
2019.0,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
