,Norway,Estonia,Poland,Australia,Vanuatu,New Zealand,China,Vietnam,Georgia,United States,Jamaica,Mexico,Argentina,Brazil,Chile,Nigeria,Morocco,Namibia,Middle income,Low income,High income,World
1960.0,,,,,,,,,,,,,,,,,,,,,,
1961.0,,,,,,,,,,,,,,,,,,,,,,
1962.0,,,,,,,,,,,,,,,,,,,,,,
1963.0,,,,,,,,,,,,,,,,,,,,,,
1964.0,,,,,,,,,,,,,,,,,,,,,,
1965.0,,,,,,,,,,,,,,,,,,,,,,
1966.0,,,,,,,,,,,,,,,,,,,,,,
1967.0,,,,,,,,,,,,,,,,,,,,,,
1968.0,,,,,,,,,,,,,,,,,,,,,,
1969.0,,,,,,,,,,,,,,,,,,,,,,
1970.0,,,,,,,,,,,,,,,,,,,,,,
1971.0,,,,,,,,,,,,,,,,,,,,,,
1972.0,,,,,,,,,,,,,,,,,,,,,,
1973.0,,,,,,,,,,,,,,,,,,,,,,
1974.0,,,,,,,,,,,,,,,,,,,,,,
1975.0,,,,,,,,,,,,,,,,,,,,,,
1976.0,,,,,,,,,,,,,,,,,,,,,,
1977.0,,,,,,,,,,,,,,,,,,,,,,
1978.0,,,,,,,,,,,,,,,,,,,,,,
1979.0,,,,,,,,,,,,,,,,,,,,,,
1980.0,,,,,,,,,,,,,,,,,,,,,,
1981.0,,,,,,,,,,,,,,,,,,,,,,
1982.0,,,,,,,,,,,,,,,,,,,,,,
1983.0,,,,,,,,,,,,,,,,,,,,,,
1984.0,,,,,,,,,,,,,,,,,,,,,,
1985.0,,,,,,,,,,,,,,,,,,,,,,
1986.0,,,,,,,,,,,,,,,,,,,,,,
1987.0,,,,,,,,,,,,,,,,,,,,,,
1988.0,,,,,,,,,,,,,,,,,,,,,,
1989.0,,,,,,,,,,,,,,,,,,,,,,
1990.0,,,,,,,,,,,,,,,28.1350994110107,,,,,,,
1991.0,,,,,,,,,,,,,,,,,,,,,,
1992.0,,,,,,,,,,,,,,,24.093599319457997,,,,,,,
1993.0,,,,,,,,,,,,,,,,,,,,,,
1994.0,,,,,,,,,,19.007799148559602,,,,,24.5694007873535,,,,,,,
1995.0,,,,,,,,,,18.7562007904053,,,,20.5568008422852,,,,,,,,
1996.0,,,,,,,,,,18.0921993255615,,,,20.999700546264602,20.8341007232666,,,,,,,
1997.0,,,,,,,,,,17.056999206543,,,,20.7194995880127,,,,,,,,
1998.0,,,,,,,,,,16.177799224853498,,,,20.4692001342773,23.2565002441406,,,,,,,
1999.0,,,,,,,,,,15.782099723815902,,,,19.9190998077393,,,,,,,,
2000.0,,,,,,,,,,15.4990997314453,,,,,24.0293998718262,,,,,,,
2001.0,,,,,,,,,,16.2098007202148,,,,19.6856002807617,,,,,,,,
2002.0,,,,,,,,,,17.062200546264602,,,,19.2677001953125,,,,,,,,
2003.0,10.010000228881802,12.119999885559098,,,,,,,,17.2322998046875,,,,19.320299148559602,20.542400360107397,,,,,,,
2004.0,9.18000030517578,15.140000343322802,14.479999542236301,,,10.789999961853,,,,16.8302001953125,,,20.9838008880615,19.0154991149902,,,,,,,13.2470448587221,
2005.0,11.3000001907349,10.9399995803833,13.9099998474121,,,11.119999885559098,,,,16.8066005706787,,21.4577007293701,19.873600006103498,19.0886001586914,,,,,,,14.0327006336446,
2006.0,4.55999994277954,8.90999984741211,12.609999656677198,,,10.7200002670288,,,,15.8425998687744,,21.3003997802734,19.508499145507802,19.2761001586914,19.8880996704102,,,,,,13.1175105715565,
2007.0,4.40999984741211,9.39000034332275,10.5900001525879,,,10.9300003051758,,10.6005001068115,,15.628899574279801,,21.089300155639602,,19.2196006774902,,,,,,,12.709209921540301,
2008.0,4.13000011444092,9.09000015258789,9.03999996185303,,,11.1499996185303,,,,16.902000427246097,,21.9125995635986,19.421400070190398,18.347499847412102,,,,,,,13.1954571009235,
2009.0,5.0,14.470000267028801,10.1099996566772,11.3999996185303,26.330299377441396,14.0900001525879,,10.2711000442505,,19.5751991271973,,22.143699645996104,20.0359001159668,18.8082008361816,23.2017993927002,,,,,,14.3386332773746,
2010.0,4.90000009536743,14.029999732971199,10.770000457763699,11.3199996948242,,13.4200000762939,,8.24240016937256,,19.8848991394043,,22.177200317382802,19.4591999053955,,19.1910991668701,,,,,,14.2954666321189,
2011.0,5.03999996185303,11.5699996948242,11.5,10.5900001525879,,13.1999998092651,,8.29179954528809,,18.908000946044897,,21.816499710082997,18.404899597168,19.427700042724602,19.1779003143311,1.2239999771118202,,,,,15.355603540228401,
2012.0,5.15999984741211,12.1999998092651,11.8199996948242,9.90999984741211,,13.5500001907349,,9.43809986114502,32.5615005493164,18.764600753784197,,21.1443996429443,18.406099319458,20.0312995910645,17.8750991821289,,,31.149999618530302,,,14.110673536701801,
2013.0,5.630000114440921,11.3199996948242,12.210000038147,11.020000457763699,,11.9200000762939,,9.98729991912842,30.9536991119385,18.219900131225604,,20.465000152587898,19.0701007843018,20.390699386596697,18.3164005279541,20.4207992553711,,32.0070991516113,,,13.9172802834602,
2014.0,5.46999979019165,11.6599998474121,11.979999542236301,10.0900001525879,,11.4399995803833,,9.726799964904789,28.771900177002,16.7879009246826,,20.2758007049561,19.6749000549316,20.089899063110398,18.6401996612549,,,30.471300125122102,,,13.171577638008301,
2015.0,5.03000020980835,10.8400001525879,10.9899997711182,9.80000019073486,,11.289999961853,,9.88399982452393,27.435499191284197,15.4868001937866,,19.747699737548803,,21.4927997589111,19.171199798584002,,,,,,12.4421822440095,
2016.0,5.369999885559079,9.14000034332275,10.520000457763699,8.689999580383299,,11.979999542236301,,9.46990013122559,26.815000534057603,15.001199722289998,,19.55299949646,,23.2390995025635,17.103900909423803,21.359899520874,,33.415699005127,,,11.811215160164302,
2017.0,4.59000015258789,9.43000030517578,9.47999954223633,8.9399995803833,,11.75,,9.70189952850342,24.757799148559602,13.8379001617432,,18.7317008972168,19.2457008361816,24.3302001953125,16.530199050903303,,,,,,11.186268984535001,
2018.0,4.84999990463257,9.85000038146973,8.659999847412111,,,11.9200000762939,,,,13.6529998779297,,18.428400039672898,19.0226001739502,24.148799896240202,15.8563995361328,,,31.761400222778303,,,10.9768483919275,
2019.0,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
