,Norway,Estonia,Poland,Australia,Vanuatu,New Zealand,China,Vietnam,Georgia,United States,Jamaica,Mexico,Argentina,Brazil,Chile,Nigeria,Morocco,Namibia,Middle income,Low income,High income,World
1960.0,3581239.0,1211537.0,29637450.0,10276477.0,63689.0,2371800.0,667070000.0,32670039.0,3645600.0,180671000.0,1628520.0,37771859.0,20481779.0,72179226.0,8132990.0,45138458.0,12328532.0,634142.0,2113046161.0,158779911.0,760193906.0,3032019978.0
1961.0,3609800.0,1225077.0,29964000.0,10483000.0,65705.0,2419700.0,660330000.0,33666110.0,3703600.0,183691000.0,1651073.0,38966056.0,20817266.0,74311343.0,8303811.0,46063563.0,12710581.0,649279.0,2139270918.0,162259865.0,771546780.0,3073077563.0
1962.0,3638918.0,1241623.0,30308500.0,10742000.0,67794.0,2482000.0,665770000.0,34683407.0,3760300.0,186538000.0,1676501.0,40195319.0,21153052.0,76514328.0,8476897.0,47029822.0,13094888.0,665115.0,2178677151.0,165830670.0,781558432.0,3126066253.0
1963.0,3666537.0,1258857.0,30712000.0,10950000.0,69946.0,2531800.0,682335000.0,35721217.0,3816100.0,189242000.0,1703651.0,41462369.0,21488912.0,78772657.0,8650387.0,48032934.0,13478423.0,681637.0,2230155724.0,169529568.0,791500756.0,3191186048.0
1964.0,3694339.0,1277086.0,31139450.0,11167000.0,72115.0,2585400.0,698355000.0,36779999.0,3870300.0,191889000.0,1730738.0,42771079.0,21824425.0,81064571.0,8821858.0,49066760.0,13857649.0,698796.0,2281940568.0,173410029.0,801349486.0,3256700083.0
1965.0,3723168.0,1294566.0,31444950.0,11388000.0,74270.0,2628400.0,715185000.0,37858951.0,3921600.0,194303000.0,1756511.0,44123853.0,22159650.0,83373530.0,8989621.0,50127921.0,14230163.0,716584.0,2335282522.0,177509185.0,810831993.0,3323623700.0
1966.0,3753012.0,1308597.0,31681000.0,11651000.0,76395.0,2675900.0,735400000.0,38958048.0,3966700.0,196560000.0,1780518.0,45519737.0,22494035.0,85696505.0,9152844.0,51217973.0,14595350.0,734867.0,2392150640.0,181839891.0,819708674.0,3393699205.0
1967.0,3784539.0,1318946.0,31987155.0,11799000.0,78499.0,2724100.0,754550000.0,40072948.0,4005800.0,198712000.0,1803319.0,46956208.0,22828869.0,88035814.0,9312095.0,52342233.0,14954031.0,753688.0,2448834103.0,186385902.0,827927262.0,3463147267.0
1968.0,3816486.0,1331214.0,32294655.0,12009000.0,80657.0,2748100.0,774510000.0,41193601.0,4042300.0,200706000.0,1825879.0,48431972.0,23168267.0,90387079.0,9468845.0,53506196.0,15307273.0,773422.0,2507048456.0,191120090.0,835367980.0,3533536526.0
1969.0,3847707.0,1345249.0,32548300.0,12263000.0,82927.0,2772800.0,796025000.0,42307146.0,4080300.0,202677000.0,1849662.0,49945279.0,23517611.0,92746614.0,9625312.0,54717039.0,15656843.0,794588.0,2567556274.0,196001924.0,844677617.0,3608235815.0
1970.0,3875763.0,1360076.0,32664300.0,12507000.0,85377.0,2810700.0,818315000.0,43404793.0,4119900.0,205052000.0,1875642.0,51493565.0,23880561.0,95113265.0,9783134.0,55982144.0,16004731.0,817469.0,2629663607.0,201001375.0,853011324.0,3683676306.0
1971.0,3903039.0,1376955.0,32783500.0,12937000.0,88010.0,2853000.0,841105000.0,44484035.0,4163000.0,207661000.0,1904276.0,53076373.0,24259561.0,97482920.0,9942727.0,57296983.0,16350881.0,842354.0,2693087600.0,206110337.0,862109111.0,3761307048.0
1972.0,3933004.0,1392518.0,33055650.0,13177000.0,90809.0,2903900.0,862030000.0,45548479.0,4205300.0,209896000.0,1935100.0,54689943.0,24653175.0,99859383.0,10103674.0,58665808.0,16696891.0,868958.0,2755483444.0,211335895.0,870906832.0,3837726171.0
1973.0,3960612.0,1405951.0,33357200.0,13380000.0,93747.0,2961300.0,881940000.0,46603525.0,4242500.0,211909000.0,1966974.0,56324303.0,25056478.0,102259497.0,10265829.0,60114625.0,17048518.0,896266.0,2817721676.0,216681265.0,878815003.0,3913217944.0
1974.0,3985258.0,1418169.0,33678899.0,13723000.0,96774.0,3023700.0,900350000.0,47657561.0,4279500.0,213854000.0,1998309.0,57966804.0,25462302.0,104706198.0,10428798.0,61677177.0,17413144.0,922903.0,2879406369.0,222154521.0,887824144.0,3989385034.0
1975.0,4007313.0,1429352.0,34015199.0,13893000.0,99859.0,3083100.0,916395000.0,48718189.0,4311200.0,215973000.0,2028016.0,59607953.0,25865776.0,107216205.0,10592307.0,63374298.0,17796164.0,947921.0,2939722049.0,227761362.0,896323112.0,4063806523.0
1976.0,4026152.0,1439576.0,34356300.0,14033000.0,103006.0,3110500.0,930685000.0,49785282.0,4342400.0,218035000.0,2055365.0,61242190.0,26264681.0,109790938.0,10756878.0,65221378.0,18198844.0,971121.0,2999377867.0,233513206.0,903502034.0,4136393107.0
1977.0,4043205.0,1450211.0,34689050.0,14192000.0,106200.0,3120200.0,943455000.0,50861162.0,4372100.0,220239000.0,2080831.0,62869903.0,26661398.0,112425392.0,10922779.0,67203128.0,18620093.0,992956.0,3058411125.0,239409309.0,910950507.0,4208770941.0
1978.0,4058671.0,1460188.0,34965600.0,14358000.0,109405.0,3121200.0,956165000.0,51959015.0,4397700.0,222585000.0,2105907.0,64494869.0,27061047.0,115121153.0,11089165.0,69271917.0,19059770.0,1014057.0,3118448554.0,245430650.0,918462256.0,4282341460.0
1979.0,4072517.0,1468333.0,35247217.0,14514000.0,112549.0,3109000.0,969005000.0,53095408.0,4430200.0,225055000.0,2132785.0,66123897.0,27471036.0,117878411.0,11254877.0,71361131.0,19516942.0,1035381.0,3179901379.0,251550765.0,926341455.0,4357793599.0
1980.0,4085620.0,1477219.0,35574150.0,14692000.0,115597.0,3112900.0,981235000.0,54281846.0,4467700.0,227225000.0,2162846.0,67761372.0,27896528.0,120694009.0,11419348.0,73423633.0,19990012.0,1057727.0,3242255849.0,257758125.0,934008001.0,4434021975.0
1981.0,4099702.0,1487666.0,35898587.0,14927000.0,118541.0,3124900.0,993885000.0,55522803.0,4504500.0,229466000.0,2196921.0,69407624.0,28338515.0,123570327.0,11582014.0,75440502.0,20479715.0,1080941.0,3306545022.0,264051673.0,941672267.0,4512268962.0
1982.0,4114787.0,1498414.0,36230481.0,15178000.0,121395.0,3156100.0,1008630000.0,56814306.0,4542800.0,231664000.0,2234057.0,71058654.0,28794548.0,126498314.0,11743911.0,77427546.0,20984009.0,1105104.0,3374067691.0,270462062.0,948924500.0,4593454253.0
1983.0,4128432.0,1508745.0,36571808.0,15369000.0,124209.0,3199300.0,1023310000.0,58148384.0,4582900.0,233792000.0,2271736.0,72709299.0,29262047.0,129448819.0,11907960.0,79414840.0,21495086.0,1131632.0,3442580262.0,277049449.0,955737922.0,4675367633.0
1984.0,4140099.0,1518617.0,36904134.0,15544000.0,127049.0,3227100.0,1036825000.0,59512619.0,4622200.0,235825000.0,2306366.0,74352631.0,29737093.0,132383568.0,12078135.0,81448755.0,22002643.0,1162279.0,3510913736.0,283893524.0,962190813.0,4756998073.0
1985.0,4152516.0,1528781.0,37201885.0,15758000.0,129984.0,3247100.0,1051040000.0,60896721.0,4662900.0,237924000.0,2335510.0,75983485.0,30216279.0,135274080.0,12257236.0,83562785.0,22499110.0,1198148.0,3580424967.0,291057942.0,968672259.0,4840155168.0
1986.0,4167354.0,1540190.0,37456119.0,16018400.0,132995.0,3246300.0,1066790000.0,62293856.0,4704500.0,240133000.0,2358161.0,77599098.0,30698964.0,138108912.0,12445823.0,85766399.0,22980335.0,1239928.0,3651813713.0,298550548.0,975437073.0,4925801334.0
1987.0,4186905.0,1552221.0,37668045.0,16263900.0,136079.0,3274400.0,1084035000.0,63701972.0,4743500.0,242289000.0,2375393.0,79200081.0,31184415.0,140891602.0,12642924.0,88048032.0,23447252.0,1286797.0,3725019071.0,306374108.0,982183208.0,5013576387.0
1988.0,4209488.0,1561900.0,37824487.0,16532200.0,139315.0,3283400.0,1101630000.0,65120439.0,4790700.0,244499000.0,2389411.0,80788721.0,31668949.0,143627503.0,12847708.0,90395271.0,23903592.0,1336536.0,3798643183.0,314578310.0,989071855.0,5102293348.0
1989.0,4226901.0,1568131.0,37961529.0,16814400.0,142794.0,3299200.0,1118650000.0,66550234.0,4803300.0,246819000.0,2403464.0,82368931.0,32148134.0,146328304.0,13058758.0,92788027.0,24355619.0,1386010.0,3871349043.0,323219957.0,996396222.0,5190965222.0
1990.0,4241473.0,1569174.0,38110782.0,17065100.0,146573.0,3329800.0,1135185000.0,67988862.0,4802000.0,249623000.0,2419906.0,83943132.0,32618651.0,149003223.0,13274623.0,95212450.0,24807462.0,1432905.0,3944840237.0,332330635.0,1004169206.0,5281340078.0
1991.0,4261732.0,1561314.0,38246193.0,17284000.0,150716.0,3495100.0,1150780000.0,69436954.0,4835900.0,252981000.0,2439334.0,85512623.0,33079000.0,151648011.0,13495258.0,97667632.0,25260404.0,1476388.0,4014647737.0,341955755.0,1012606603.0,5369210095.0
1992.0,4286401.0,1533091.0,38363667.0,17495000.0,155170.0,3531700.0,1164970000.0,70883481.0,4873500.0,256514000.0,2461049.0,87075138.0,33529326.0,154259380.0,13719819.0,100161710.0,25711406.0,1516958.0,4082474773.0,352066121.0,1018853066.0,5453393960.0
1993.0,4311991.0,1494128.0,38461408.0,17667000.0,159744.0,3572200.0,1178440000.0,72300308.0,4911100.0,259919000.0,2484581.0,88625440.0,33970111.0,156849078.0,13944937.0,102700753.0,26155203.0,1555101.0,4149075132.0,362526825.0,1026846769.0,5538448726.0
1994.0,4336613.0,1462514.0,38542652.0,17855000.0,164129.0,3620000.0,1191835000.0,73651218.0,4836076.0,263126000.0,2509043.0,90156400.0,34402672.0,159432716.0,14166340.0,105293700.0,26584478.0,1591822.0,4214963232.0,373150870.0,1034461319.0,5622575421.0
1995.0,4359184.0,1436634.0,38594998.0,18072000.0,168158.0,3673400.0,1204855000.0,74910461.0,4657722.0,266278000.0,2533711.0,91663285.0,34828170.0,162019896.0,14380866.0,107948335.0,26994250.0,1627865.0,4280338246.0,383810298.0,1043384479.0,5707533023.0
1996.0,4381336.0,1415594.0,38624370.0,18311000.0,171722.0,3732000.0,1217550000.0,76068743.0,4491699.0,269394000.0,2558637.0,93147044.0,35246374.0,164614688.0,14587370.0,110668794.0,27383473.0,1663378.0,4345432484.0,394448671.0,1050573065.0,5790454220.0
