,Norway,Estonia,Poland,Australia,Vanuatu,New Zealand,China,Vietnam,Georgia,United States,Jamaica,Mexico,Argentina,Brazil,Chile,Nigeria,Morocco,Namibia,Middle income,Low income,High income,World
1960.0,,,,,,,,,,,,,,,,,,,,,,
1961.0,,,,,,,,,,,,,,,,,,,,,,
1962.0,,,,,,,,,,,,,,,,,,,,,,
1963.0,,,,,,,,,,,,,,,,,,,,,,
1964.0,,,,,,,,,,,,,,,,,,,,,,
1965.0,,,,,,,,,,,,,,,,,,,,,,
1966.0,,,,,,,,,,,,,,,,,,,,,,
1967.0,,,,,,,,,,,,,,,,,,,,,,
1968.0,,,,,,,,,,,,,,,,,,,,,,
1969.0,,,,,,,,,,,,,,,,,,,,,,
1970.0,,,,,,,,,,,,,,,,,,,,,,
1971.0,,,,,,,,,,,,,,,,,,,,,,
1972.0,,,,,,,,,,,,,,,,,,,,,,
1973.0,,,,,,,,,,,,,,,,,,,,,,
1974.0,,,,,,,,,,,,,,,,,,,,,,
1975.0,,,,,,,,,,,,,,,,,,,,,,
1976.0,,,,,,,,,,,,,,,,,,,,,,
1977.0,,,,,,,,,,,,,,,,,,,,,,
1978.0,,,,,,,,,,,,,,,,,,,,,,
1979.0,,,,,,,,,,,,,,,,,,,,,,
1980.0,,,,,,,,,,,,,,,,,,,,,,
1981.0,,,,,,,,,,,,,,,,,,,,,,
1982.0,,,,,,,,,,,,,,,,,,,,,,
1983.0,,,,,,,,,,,,,,,,,,,,,,
1984.0,,,,,,,,,,,,,,,,,,,,,,
1985.0,,,,,,,,,,,,,,,,,,,,,,
1986.0,,,,,,,,,,,,,,,,,,,,,,
1987.0,,,,,,,,,,,,,,,,,,,,,,
1988.0,,,,,,,,,,,,,,,,,,,,,,
1989.0,,,,,,,,,,,,,,,,,,,,,,
1990.0,,,,,,,,,,,,,,,,,,,,,,
1991.0,,,,,,,,,,,,,,,,0.05,0.82,0.46,,0.71,,
1992.0,,,,,,,,,,0.32,,0.39,0.79,0.53,0.43,0.02,0.75,0.42,,0.69,,
1993.0,,,,,,,,,,,,,,,,,,,,,,
1994.0,,,,,,,,,,,,,,,,,,,,,,
1995.0,1.33,0.33,0.55,,,0.61,0.27,0.34,,0.34,,0.32,0.6,0.63,0.53,0.13,0.94,,,0.56,,
1996.0,,,,,,,,,,,,,,,,,,,,,,
1997.0,,,,,,,,,,,,,,,,,,,,,,
1998.0,1.21,0.45,0.54,0.46,,0.64,0.28,0.35,0.46,0.32,0.37,0.36,0.94,0.8,0.49,0.13,0.79,0.38,0.46,0.6,0.72,0.54
1999.0,,,,,,,,,,,,,,,,,,,,,,
2000.0,1.19,0.6,0.76,0.57,,0.48,0.4,0.38,,0.47,0.62,0.61,1.07,0.92,0.64,0.27,0.82,0.47,0.53,0.66,0.76,0.6
2001.0,,,,,,,,,,,,,,,,,,,,,,
2002.0,1.23,0.58,0.83,0.5,,0.55,0.42,0.34,0.48,0.4,0.52,0.62,0.63,0.55,0.58,0.2,0.87,0.45,0.52,0.57,0.83,0.58
2003.0,,,,,,,,,,,,,,,,,,,,,,
2004.0,1.61,0.94,1.2,0.85,,0.77,0.48,0.48,0.73,0.54,0.63,0.59,0.63,0.84,0.85,0.39,1.1,0.68,0.68,0.88,1.14,0.805
2005.0,,,,,,,,,,,,,,,,,,,,,,
2006.0,1.8,1.23,1.3,0.93,,0.98,0.69,0.67,0.86,0.63,0.82,0.74,0.62,1.26,1.09,0.51,1.22,0.87,0.86,1.04,1.26,0.98
2007.0,,,,,,,,,,,,,,,,,,,,,,
2008.0,1.63,1.18,1.43,0.74,,1.09,0.99,0.8,1.09,0.56,0.74,0.74,0.78,1.26,0.95,0.59,1.29,0.78,0.92,1.125,1.27,1.11
2009.0,,,,,,,,,,,,,,,,,,,,,,
2010.0,2.12,1.54,1.57,1.27,,1.47,1.11,0.88,1.13,0.76,0.98,0.81,0.96,1.58,1.38,0.44,1.23,1.06,1.09,1.2,1.59,1.22
2011.0,,,,,,,,,,,,,,,,,,,,,,
2012.0,2.53,1.76,1.74,1.39,,1.77,1.37,1.15,1.34,0.97,1.2,0.86,1.46,1.39,1.56,0.62,1.42,1.24,1.28,1.375,1.835,1.41
2013.0,,,,,,,,,,,,,,,,,,,,,,
2014.0,2.27,1.46,1.42,1.23,,1.71,1.17,1.04,1.24,0.76,1.14,1.03,1.52,1.27,1.52,0.56,1.38,1.08,1.2,1.32,1.66,1.34
2015.0,,,,,,,,,,,,,,,,,,,,,,
2016.0,1.78,1.14,1.07,0.93,1.31,1.4,0.96,0.8,0.76,0.71,1.11,0.73,1.1,1.02,1.03,0.46,0.99,0.76,0.92,0.91,1.23,0.97
2017.0,,,,,,,,,,,,,,,,,,,,,,
2018.0,,,,,,,,,,,,,,,,,,,,,,
2019.0,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
