,Norway,Estonia,Poland,Australia,Vanuatu,New Zealand,China,Vietnam,Georgia,United States,Jamaica,Mexico,Argentina,Brazil,Chile,Nigeria,Morocco,Namibia,Middle income,Low income,High income,World
1960.0,,,,,,,,,,,,,,,,,,,,,,
1961.0,,,,,,,,,,,,,,,,,,,,,,
1962.0,,,,,,,,,,,,,,,,,,,,,,
1963.0,,,,,,,,,,,,,,,,,,,,,,
1964.0,,,,,,,,,,,,,,,,,,,,,,
1965.0,,,,,,,,,,,,,,,,,,,,,,
1966.0,,,,,,,,,,,,,,,,,,,,,,
1967.0,,,,,,,,,,,,,,,,,,,,,,
1968.0,,,,,,,,,,,,,,,,,,,,,,
1969.0,,,,,,,,,,,,,,,,,,,,,,
1970.0,,,,,,,,,,,,,,,,,,,,,,
1971.0,,,,,,,,,,,,,,,,,,,,,,
1972.0,,,,,,,,,,,,,,,,,,,,,,
1973.0,,,,,,,,,,,,,,,,,,,,,,
1974.0,,,,,,,,,,,,,,,,,,,,,,
1975.0,,,,,,,,,,,,,,,,,,,,,,
1976.0,,,,,,,,,,,,,,,,,,,,,,
1977.0,,,,,,,,,,,,,,,,,,,,,,
1978.0,,,,,,,,,,,,,,,,,,,,,,
1979.0,,,,,,,,,,,,,,,,,,,,,,
1980.0,,,,,,,,,,,,,,,,,,,,,,
1981.0,,,,,,,,,,,,,,,,,,,,,,
1982.0,,,,,,,,,,,,,,,,,,,,,,
1983.0,,,,,,,,,,,,,,,,,,,,,,
1984.0,,,,,,,,,,,,,,,,,,,,,,
1985.0,,,,,,,,,,,,,,,,,,,,,,
1986.0,,,,,,,,,,,,,,,,,,,,,,
1987.0,,,,,,,,,,,,,,,,,,,,,,
1988.0,,,,,,,,,,,,,,,,,,,,,,
1989.0,,,,,,,,,,,,,,,,,,,,,,
1990.0,,,,,,,,,,,,,,,,,,,,,,
1991.0,,,,,,,,,,,,,,,,,,,,,,
1992.0,,,,,,,,,,,,,,,,,,,,,,
1993.0,,,,,,,,,,,,,,,,,,,,,,
1994.0,,,,,,,,,,,,,,,,,,,,,,
1995.0,,,,,,,,,,,,,,,,,,,,,,
1996.0,,,0.64037,1.6665,,,0.56324,,0.33088,2.44182,,0.25067,0.41748999999999997,,,,,,,,,
1997.0,1.59352,,0.64412,,,1.0565,0.63873,,0.3424,2.47091,,0.2762,0.41958999999999996,,,,,,,,,
1998.0,,0.5707399999999999,0.66083,1.51645,,,0.64689,,0.35384,2.49675,,0.30196,0.41131,,,,0.27341,,,,,
1999.0,1.60533,0.6806300000000001,0.6818,,,0.9638700000000001,0.74963,,0.28769,2.5417400000000003,,0.3441,0.45337,,,,,,,,,
2000.0,,0.60009,0.64202,1.5763,,,0.8931600000000001,,0.2153,2.6205,,0.30613,0.43883999999999995,1.0016,,,,,,,,
2001.0,1.56231,0.6994600000000001,0.62284,,,1.10029,0.9403299999999999,,0.23848000000000003,2.63832,0.0491,0.32418,0.42461000000000004,1.03211,,,0.60682,,,,,
2002.0,1.63058,0.71649,0.55785,1.75233,,,1.05786,0.19272999999999998,0.18574000000000002,2.54968,0.06096,0.36667,0.38886,0.9774700000000001,,,0.52586,,,,,
2003.0,1.6803599999999999,0.76777,0.53884,,,1.14891,1.12037,,0.2176,2.55287,,0.38038,0.41013,0.99939,,,0.63071,,,,,
2004.0,1.54506,0.85193,0.5525100000000001,1.85634,,,1.21498,,0.2442,2.48995,,0.38816,0.40376,0.9634299999999999,,,,,,,,
2005.0,1.48317,0.92364,0.56281,,,1.12045,1.30792,,0.17658,2.50599,,0.39844,0.42073999999999995,1.0024600000000001,,,,,,,,
2006.0,1.4559799999999998,1.11666,0.55082,2.18708,,,1.3685399999999999,,,2.55002,,0.36922,0.45216000000000006,0.9880700000000001,,,0.6078899999999999,,,,,
2007.0,1.5640100000000001,1.06884,0.56189,,,1.15657,1.3729799999999999,,,2.62692,,0.42606000000000005,0.46007,1.08138,0.30956999999999996,0.21896,,,,,,
2008.0,1.55346,1.25952,0.59921,2.40692,,,1.44469,,,2.76683,,0.47073000000000004,0.47055,1.12904,0.37496999999999997,,,,,,,
2009.0,1.72279,1.39541,0.66097,,,1.2525,1.6621099999999998,,,2.81859,,0.51677,0.58398,1.11866,0.35202,,,,,,,
2010.0,1.64855,1.58162,0.7207,2.3797599999999997,,,1.7099400000000002,,,2.7404599999999997,,0.53299,0.56104,1.15992,0.32947,,0.71454,0.14165,,,,
2011.0,1.62534,2.30655,0.74588,2.24145,,1.2309999999999999,1.7753900000000002,0.19044,,2.76965,,0.51144,0.56597,1.1396600000000001,0.35144000000000003,,,,,,,
2012.0,1.61858,2.12265,0.8808600000000001,,,,1.90582,,,2.68859,,0.48683999999999994,0.6349100000000001,1.12684,0.3622,,,,,,,
2013.0,1.6500400000000002,1.72216,0.8705299999999999,2.18214,,1.15412,1.9902099999999998,0.37359000000000003,0.08367000000000001,2.72486,,0.49855,0.61849,1.19567,0.3887,,,,,,,
2014.0,1.71187,1.4506299999999999,0.94014,,,,2.02114,,0.1849,2.73389,,0.5304399999999999,0.59278,1.26991,0.37496999999999997,,,0.33996,,,,
2015.0,1.93095,1.48796,1.00371,1.9229599999999998,,1.23006,2.0564299999999998,0.44113,0.31982,2.73222,,0.5241899999999999,0.6140800000000001,1.34264,0.3806,,,,,,,
2016.0,2.03222,1.28134,0.9653799999999999,,,,2.10826,,0.30104000000000003,2.7719099999999997,,0.4865,0.53274,1.26578,0.36244,,,,,,,
2017.0,2.11315,1.3230000000000002,1.0381200000000002,,,,2.1286,0.52654,0.28955,2.8016099999999997,,,,,,,,,,,,
2018.0,,,,,,,,,,,,,,,,,,,,,,
2019.0,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
