,Norway,Estonia,Poland,Australia,Vanuatu,New Zealand,China,Vietnam,Georgia,United States,Jamaica,Mexico,Argentina,Brazil,Chile,Nigeria,Morocco,Namibia,Middle income,Low income,High income,World
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,2880000.0,530000.0,19215000.0,3726000.0,44000.0,,20034000.0,1351000.0,85000.0,43318000.0,1147000.0,20241000.0,2289000.0,1991000.0,1540000.0,656000.0,2602000.0,272000.0,136463673.013287,4054452.80336775,378852199.712362,523909597.4811
,2746000.0,665000.0,19410000.0,4165000.0,46000.0,,22765000.0,1607000.0,117000.0,46489000.0,1162000.0,21395000.0,2614000.0,2666000.0,1450000.0,822000.0,2693000.0,461000.0,151378586.821791,4534261.07845091,393699339.340296,554551599.274845
,2702000.0,730000.0,19520000.0,4318000.0,50000.0,,23770000.0,1716000.0,313000.0,47767000.0,1192000.0,19351000.0,2764000.0,2850000.0,1644000.0,611000.0,3072000.0,502000.0,159788648.564298,4767931.43624681,414534780.51903397,584304845.206599
,3256000.0,825000.0,18780000.0,4167000.0,52000.0,1475000.0,25073000.0,1520000.0,317000.0,46377000.0,1225000.0,19392000.0,3012000.0,4818000.0,1759000.0,739000.0,3095000.0,614000.0,163151824.529974,5231311.63729971,428597798.32530403,602247337.8998059
,3223000.0,950000.0,17950000.0,4459000.0,51000.0,1596000.0,27047000.0,1782000.0,384000.0,48509000.0,1248000.0,19043000.0,2898000.0,5107000.0,1632000.0,776000.0,3817000.0,635000.0,171474354.829598,5330984.58652903,444887284.796393,627207864.916467
