"Data Source","World Development Indicators",

"Last Updated Date","2019-10-28",

"Country Name","Country Code","Indicator Name","Indicator Code","1960","1961","1962","1963","1964","1965","1966","1967","1968","1969","1970","1971","1972","1973","1974","1975","1976","1977","1978","1979","1980","1981","1982","1983","1984","1985","1986","1987","1988","1989","1990","1991","1992","1993","1994","1995","1996","1997","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016","2017","2018","2019",
"Aruba","ABW","Access to electricity, urban (% of urban population)","EG.ELC.ACCS.UR.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","100","99.9439392089844","99.9806060791016","99.996826171875","100","100","100","100","100","100","100","100","100","100","100","100","100","100","100","100","100","100","100","100","100","100","100","100","","",
"Afghanistan","AFG","Access to electricity, urban (% of urban population)","EG.ELC.ACCS.UR.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","74","79.889274597168","81.6870498657227","89.9","85.3217163085938","82.8","86.5677791512155","95","92.7357330322266","98.7","92.5","99.5","99.5","","",
"Angola","AGO","Access to electricity, urban (% of urban population)","EG.ELC.ACCS.UR.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","30","44.611515045166","46.404842376709","48.208683013916","50.0257682800293","51.8561210632324","66.1","55.5562438964844","57.4258232116699","81.8864288330078","82.5","72.7643585205078","67.6968002319336","51","64","70.7949600219727","72.7221908569336","","",
"Albania","ALB","Access to electricity, urban (% of urban population)","EG.ELC.ACCS.UR.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","100","100","100","100","100","100","100","100","100","100","100","100","100","100","100","100","100","100","100","100","100","100","100","100","100","100","100","100","","",
"Andorra","AND","Access to electricity, urban (% of urban population)","EG.ELC.ACCS.UR.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","100","100","100","100","100","100","100","100","100","100","100","100","100","100","100","100","100","100","100","100","100","100","100","100","100","100","100","100","","",
"Arab World","ARB","Access to electricity, urban (% of urban population)","EG.ELC.ACCS.UR.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","93.2433566707219","93.1796543452778","94.7813970721799","94.629370026664","95.3780128757067","94.7717336591632","95.7046177214799","95.9392416781005","95.9621663682546","96.352930445053","95.9978328299184","96.649916049717","96.8341841751064","97.0039744737312","","",
"United Arab Emirates","ARE","Access to electricity, urban (% of urban population)","EG.ELC.ACCS.UR.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","100","100","100","100","100","100","100","100","100","100","100","100","100","100","100","100","100","100","100","100","100","100","100","100","100","100","100","100","","",
"Argentina","ARG","Access to electricity, urban (% of urban population)","EG.ELC.ACCS.UR.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","95.8769454956055","96.160514831543","96.4665603637695","96.7727661132813","97.0568008422852","97.2963256835938","97.4776763916016","97.6217956542969","97.7582702636719","99.7323455810547","99.9148025512695","99.9555053710938","99.9697647094727","100","99.977165222168","99.98828125","100","","",
"Armenia","ARM","Access to electricity, urban (% of urban population)","EG.ELC.ACCS.UR.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","99.1","99.3102264404297","99.308967590332","99.3127899169922","99.3271179199219","99.9","99.3955459594727","99.4495620727539","99.5166625976563","99.5967330932617","99.7","99.8760375976563","99.9662475585938","99.9888000488281","99.9944458007813","100","100","100","","",
"American Samoa","ASM","Access to electricity, urban (% of urban population)","EG.ELC.ACCS.UR.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
