"Data Source","World Development Indicators",

"Last Updated Date","2019-10-28",

"Country Name","Country Code","Indicator Name","Indicator Code","1960","1961","1962","1963","1964","1965","1966","1967","1968","1969","1970","1971","1972","1973","1974","1975","1976","1977","1978","1979","1980","1981","1982","1983","1984","1985","1986","1987","1988","1989","1990","1991","1992","1993","1994","1995","1996","1997","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016","2017","2018","2019",
"Aruba","ABW","Part time employment, total (% of total employment)","SL.TLF.PART.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Afghanistan","AFG","Part time employment, total (% of total employment)","SL.TLF.PART.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","48.1300010681152","","","","33.4799995422363","","","","","","","",
"Angola","AGO","Part time employment, total (% of total employment)","SL.TLF.PART.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Albania","ALB","Part time employment, total (% of total employment)","SL.TLF.PART.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","18.9400005340576","23.2800006866455","21.8199996948242","23.9500007629395","49.3600006103516","28.9599990844727","25.8999996185303","32.5800018310547","30.3600006103516","","23.9300003051758","","",
"Andorra","AND","Part time employment, total (% of total employment)","SL.TLF.PART.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Arab World","ARB","Part time employment, total (% of total employment)","SL.TLF.PART.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"United Arab Emirates","ARE","Part time employment, total (% of total employment)","SL.TLF.PART.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","1.20000004768372","2.33999991416931","",
"Argentina","ARG","Part time employment, total (% of total employment)","SL.TLF.PART.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","37.2000007629395","35.3699989318848","34.4799995422363","","32.3699989318848","33.7900009155273","32.7900009155273","32.0999984741211","33.2799987792969","33.1699981689453","34.1699981689453","","","37.3300018310547","37.7900009155273","",
"Armenia","ARM","Part time employment, total (% of total employment)","SL.TLF.PART.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","26.5200004577637","42.2400016784668","41.0999984741211","40.8699989318848","35.7299995422363","35.6800003051758","32","36.8899993896484","35.6699981689453","32.9599990844727","","",
"American Samoa","ASM","Part time employment, total (% of total employment)","SL.TLF.PART.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Antigua and Barbuda","ATG","Part time employment, total (% of total employment)","SL.TLF.PART.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Australia","AUS","Part time employment, total (% of total employment)","SL.TLF.PART.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","38.6500015258789","37.5900001525879","39.8300018310547","38.7000007629395","39.2000007629395","41.310001373291","39.4799995422363","39.4000015258789","39.3499984741211","39.4900016784668","42.7799987792969","42.2299995422363","41.3899993896484","42.7700004577637","41.439998626709","43.3499984741211","45.4099998474121","41.7200012207031","43.9300003051758","43.6800003051758","42.8699989318848","46.4599990844727","45.9000015258789","43.5","45.4700012207031","43.6599998474121","45.7900009155273","","",
"Austria","AUT","Part time employment, total (% of total employment)","SL.TLF.PART.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","20.5200004577637","20.1399993896484","18.2700004577637","23.7999992370605","23.8099994659424","24.1000003814697","23.7600002288818","25.1299991607666","24.5499992370605","32.6199989318848","36.4799995422363","36.5900001525879","37.189998626709","36.810001373291","41.4599990844727","41.3800010681152","40.7999992370605","42.0999984741211","42.6399993896484","43.3899993896484","44.689998626709","44.5400009155273","45.4000015258789","44.8300018310547","",
"Azerbaijan","AZE","Part time employment, total (% of total employment)","SL.TLF.PART.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","23.0499992370605","23.75","17.1399993896484","18.5799999237061","18.4200000762939","","18.6299991607666","18.7099990844727","18.8999996185303","19.1499996185303","",
"Burundi","BDI","Part time employment, total (% of total employment)","SL.TLF.PART.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","24.9099998474121","","","","","",
