,Norway,Estonia,Poland,Australia,Vanuatu,New Zealand,China,Vietnam,Georgia,United States,Jamaica,Mexico,Argentina,Brazil,Chile,Nigeria,Morocco,Namibia,Middle income,Low income,High income,World
1960.0,13102.191,,199767.15899999999,88202.351,,11543.716,780726.302,7491.681,,2890696.1,1470.467,63116.404,48815.10400000001,46908.264,13490.893,3406.643,3641.3309999999997,,2359912.95765147,30563.991580355898,5713366.06602477,9396705.835
1961.0,13351.546999999999,,207434.85600000003,90589.56800000001,,11767.403,552066.85,7986.726,,2880505.5069999998,2130.527,65305.602999999996,51180.319,49203.806,14473.649,4114.374,3777.01,,2054018.06490323,29487.497401766002,5838410.40548872,9434402.595
1962.0,14077.613000000001,,216815.042,94912.961,40.336999999999996,11210.018999999998,440359.029,9347.183,,2987207.873,2119.526,63809.467000000004,53695.880999999994,53695.880999999994,16725.186999999998,4180.38,3080.28,,1962322.67287935,31640.4857589457,6109990.31154678,9818839.874
1963.0,14983.362,,231219.018,101029.51699999999,33.003,12229.445,436695.696,9119.829,,3119230.874,2398.218,66361.69900000001,50083.886,55617.389,17355.911,5350.153,3960.36,,2025215.02080004,30889.6469973119,6452882.15934793,10355747.346
1964.0,16189.805,,243114.766,108979.573,62.339,13105.858,436923.05,11800.406,,3255995.3060000003,4066.703,74278.75200000001,55727.399000000005,56735.824,17524.593,7275.328,4422.402,,2124837.09620546,35310.4733508572,6782010.52119361,10947007.092
1965.0,16409.825,,247221.806,120966.996,47.67100000000001,13699.912,475972.93299999996,13164.53,,3390922.5710000005,2992.272,75246.84,58866.350999999995,56398.46,17766.615,11763.736,4261.054,,2305181.1026376,36916.7483002421,7081545.936878799,11433441.976
1966.0,19563.445,,252678.302,120332.605,77.007,14015.274,522789.52200000006,19200.412,,3561878.111,3520.32,80930.69,63138.405999999995,64304.512,18793.375,12907.84,5467.496999999999,,2490017.46150917,40032.7838243709,7391949.91974734,12009447.002
1967.0,19328.756999999998,,259282.569,129265.41699999999,84.34100000000001,13641.24,433234.04799999995,22984.756,,3695708.943,3868.685,90101.85699999999,65543.958,66193.017,19259.084,12838.167,5416.159000000001,,2451296.57601612,40301.6452965855,7720671.80460573,12389685.566
1968.0,21140.255,,276073.762,134622.904,62.339,13487.226,468928.626,23622.814,,3831354.94,3883.353,93988.877,69082.613,77421.371,21224.596,6633.603,5628.845,,2667898.65543646,65167.88453448901,8131701.25444813,13017193.607
1969.0,22222.02,,293653.36,142257.598,44.004,14271.964,577237.1379999999,27080.795,,4024748.853,4272.055,102287.29800000001,77329.696,84315.33099999999,22555.717,12112.101,5826.863,,2974245.16645744,58542.862103764004,8656315.63594432,13797116.836
1970.0,28012.213,,304441.674,147618.75199999998,40.336999999999996,14194.957,771617.474,28199.23,,4328904.501,4994.454000000001,114073.036,82734.854,93761.523,24664.242000000002,21539.958,7293.6630000000005,,3422625.26716833,53524.1146224238,9411515.01332591,14788798.314000001
1971.0,27198.139,,313246.141,152774.554,58.672,15060.368999999999,876633.02,24528.563,,4356770.034,5753.523,126339.151,88939.418,102635.663,27095.463,32280.601000000002,8203.079,,3733760.14740636,60845.4193273458,9601897.38009031,15323175.556
1972.0,29427.675,,329952.993,157486.649,62.339,16197.139,931575.681,23058.096,,4564952.958000001,6288.905,132459.374,90156.862,114362.729,28191.896,41426.099,8049.065,,3944052.52880535,56081.745550414504,10084808.6060268,15957192.522
1973.0,30524.107999999997,,336128.221,170992.21,55.005,18202.988,968542.708,25096.947999999997,,4770194.948,8298.421,144292.783,94065.884,132463.041,27652.847,49577.84,9640.543,,4222973.08772201,61872.60802888389,10612161.6532636,16822109.477
