,Norway,Estonia,Poland,Australia,Vanuatu,New Zealand,China,Vietnam,Georgia,United States,Jamaica,Mexico,Argentina,Brazil,Chile,Nigeria,Morocco,Namibia,Middle income,Low income,High income,World
1960.0,,,,,,,,,,,,,,,,,,,,,,
1961.0,,,,,,,,,,,,,,,,,,,,,,
1962.0,,,,,,,,,,,,,,,,,,,,,,
1963.0,,,,,,,,,,,,,,,,,,,,,,
1964.0,,,,,,,,,,,,,,,,,,,,,,
1965.0,,,,,,,,,,,,,,,,,,,,,,
1966.0,,,,,,,,,,,,,,,,,,,,,,
1967.0,,,,,,,,,,,,,,,,,,,,,,
1968.0,,,,,,,,,,,,,,,,,,,,,,
1969.0,,,,,,,,,,,,,,,,,,,,,,
1970.0,,,,,,,,,,,,,,,,,,,,,,
1971.0,,,,,,,,,,,,,,,,,,,,,,
1972.0,,,,,,,,,,,,,,,,,,,,,,
1973.0,,,,,,,,,,,,,,,,,,,,,,
1974.0,,,,,,,,,,,,,,,,,,,,,,
1975.0,,,,,,,,,,,,,,,,,,,,,,
1976.0,,,,,,,,,,,,,,,,,,,,,,
1977.0,,,,,,,,,,,,,,,,,,,,,,
1978.0,,,,,,,,,,,,,,,,,,,,,,
1979.0,,,,,,,,,,,,,,,,,,,,,,
1980.0,,,,,,,,,,,,,,,,,,,,,,
1981.0,,,,,,,,,,,,,,,,,,,,,,
1982.0,,,,,,,,,,,,,,,,,,,,,,
1983.0,,,,,,,,,,,,,,,,,,,,,,
1984.0,,,,,,,,,,,,,,,,,,,,,,
1985.0,,,,,,,,,,,,,,,,,,,,,,
1986.0,,,,,,,,,,,,,,,,,,,,,,
1987.0,,,,,,,,,,,,,,,,,,,,,,
1988.0,,,,,,,,,,,,,,,,,,,,,,
1989.0,,,,,,,,,,,,,,,,,,,,,,
1990.0,8.995380402259029,9.051927282916301,30.199428987196804,10.4118546340861,13.6705503558058,7.14383141839905,57.7650066385472,35.9284773247318,26.5264859225456,9.701667270252269,15.953864518264599,23.5165578230472,16.220530169464,15.1438614382675,24.676056570482203,72.1255759681486,30.2554917779452,28.7497896475675,51.3548110049169,42.9072672881184,16.6339065330955,44.256382448885205
1991.0,,,,,,,,,,,,,,,,,,,,,,
1992.0,,,,,,,,,,,,,,,,,,,,,,
1993.0,,,,,,,,,,,,,,,,,,,,,,
1994.0,,,,,,,,,,,,,,,,,,,,,,
1995.0,8.7932612582865,8.5780459145538,27.8918280326225,10.426396579877,13.521474089043,7.204397399212049,58.6601588038163,36.016809639102995,25.273070393433198,9.56639220192139,15.919052653601902,24.136610244302602,16.8460647537934,15.412856898013501,24.943241526591,68.7100362423834,30.4209649622628,27.497596668886104,51.972283746439295,43.138147118457205,16.2206575128319,44.87869605592811
1996.0,,,,,,,,,,,,,,,,,,,,,,
1997.0,,,,,,,,,,,,,,,,,,,,,,
1998.0,,,,,,,,,,,,,,,,,,,,,,
1999.0,,,,,,,,,,,,,,,,,,,,,,
2000.0,8.66886615510985,8.22738672799016,25.822185819298802,10.843723662765301,14.0665460882914,7.16228849792864,60.70483932241779,36.238845427634104,25.2738010285681,9.52513800350703,15.8938163234463,26.779182159400897,16.7809479169912,15.773481186018401,26.1685947683912,67.5543284950873,30.967448322880397,27.433818564007602,53.147099021249,42.804287951263106,16.2044260999127,45.9321495724275
2001.0,,,,,,,,,,,,,,,,,,,,,,
2002.0,,,,,,,,,,,,,,,,,,,,,,
2003.0,,,,,,,,,,,,,,,,,,,,,,
2004.0,,,,,,,,,,,,,,,,,,,,,,
2005.0,8.359490709789231,8.457242673322119,26.1512182276353,10.597133611302,14.189769924328,7.0370872787156,66.1745038879297,37.749592952317,25.6272840228898,9.6098244651228,16.0096313259331,26.8628999158892,16.4030853648294,15.595925732218099,25.5273169833417,59.65813987545361,30.9678134359633,27.619761414572395,56.3258694872544,41.3552339306613,16.319067760621,48.3602234137835
2006.0,,,,,,,,,,,,,,,,,,,,,,
2007.0,,,,,,,,,,,,,,,,,,,,,,
2008.0,,,,,,,,,,,,,,,,,,,,,,
2009.0,,,,,,,,,,,,,,,,,,,,,,
2010.0,8.34150722274663,8.51984876265417,27.176500175917802,10.6188794048093,14.129512547124698,7.15286569118004,69.47957040985021,39.3653969875931,26.101237727765103,9.358636410191039,16.0917149782122,26.3654389998875,16.8591006158722,15.955285062339302,25.8922916949858,52.6090639108744,29.648960298520397,27.6598963258867,58.677289101900904,41.3421985843582,16.6693384523513,50.247716856675204
2011.0,8.853510780832789,8.4425589185044,26.372507074367498,11.0472649248094,14.382964019368801,7.42069643508215,70.54202882606249,38.486974798001,26.7836033193883,9.740640607394349,16.5424989128284,27.7412967942738,17.382982132833,15.912797988208899,27.245867067530497,50.9730892257392,29.2665642608242,27.010154514584798,59.1996625136617,41.944467293208795,16.9587905416609,50.7666289584273
2012.0,7.9252812408156705,7.81069865135747,24.263977390580898,10.5370899888968,13.242452385319499,6.8358356403692495,63.8270168403804,37.2274515446179,25.002849284703498,9.00316336976139,15.460470971142001,25.981658828264603,16.1350718237481,15.2854557635981,25.047155303969898,56.1296377006339,27.7902835753525,26.7987080593328,55.0307605303582,42.0768078032144,16.080917497786903,47.5287629997919
2013.0,7.63367482383289,7.48281357819371,22.9287236968437,9.987683889602,12.740692894229,6.78188555133455,65.51455021761561,36.835906408279,23.9102035299856,8.734777211041889,14.9313997463287,25.4490896722485,15.597375147522301,14.6099009220172,23.9366936042629,49.740688936045196,29.259519134299303,27.0928160862187,55.715290388934605,41.0467248711213,15.879591480464699,47.943100675795606
2014.0,7.67089592652719,7.705552571585179,22.2108917899162,9.49297875176193,11.9338516831532,6.35790351165964,59.767367508178,34.8960150524249,22.9667074181246,8.22072031896057,14.0743316940445,23.099689746760202,14.4669804074766,13.989934768646,22.8682518073035,48.6333736074304,29.949449987403003,26.018121530433998,53.3230077113179,40.0702782695924,14.986948105696198,45.939252593862705
2015.0,7.24277533614087,7.00372767300566,22.691318051645798,9.320015288592462,12.1572100060446,6.33043381042598,59.0634224622344,32.4664438201196,24.2526462710274,8.063920222065441,14.176659304077301,22.132995848428997,14.631625896113501,13.594655624881199,22.5697925543167,75.39899187413259,31.4400869131751,26.910016729060803,54.389965640453795,43.8043103355229,15.8144544066271,47.22561685552179
2016.0,6.9594573295062006,6.82144803091977,20.9757678975963,8.61450892396923,11.5909089578251,5.98736315407452,52.2113220381052,30.241311565908,21.8296361844605,7.40646408863749,13.3959632146505,20.706828543619498,13.751444026963801,12.658676008763198,20.8768704085084,71.3696010012744,32.9353742281018,25.5521419603331,51.9748279203372,42.920423519583395,14.517951799705601,45.1507744981483
2017.0,6.95651980294718,6.73212401545877,20.8778222190899,8.55032440147794,11.6527770296143,5.956001129415621,52.664595829198106,29.6267283386303,22.196054618119398,7.40944166188307,13.4041505299481,20.9211157874081,13.311833946835,12.706629474072402,21.0362990619754,71.7981743753326,32.5935414574286,25.358765398457304,52.36246067985579,43.24055780745629,14.6829308477401,45.523000563344
