,Norway,Estonia,Poland,Australia,Vanuatu,New Zealand,China,Vietnam,Georgia,United States,Jamaica,Mexico,Argentina,Brazil,Chile,Nigeria,Morocco,Namibia,Middle income,Low income,High income,World
1960.0,,,,,,,,,,,,,,,,,,,,,,
1961.0,,,,,,,,,,,,,,,,,,,,,,
1962.0,,,,,,,,,,,,,,,,,,,,,,
1963.0,,,,,,,,,,,,,,,,,,,,,,
1964.0,,,,,,,,,,,,,,,,,,,,,,
1965.0,,,,,,,,,,,,,,,,,,,,,,
1966.0,,,,,,,,,,,,,,,,,,,,,,
1967.0,,,,,,,,,,,,,,,,,,,,,,
1968.0,,,,,,,,,,,,,,,,,,,,,,
1969.0,,,,,,,,,,,,,,,,,,,,,,
1970.0,63.5999984741,,6.1999998092999995,234.6999969482,,35.7999992371,,4.5999999046,,5151.2001953125,2.5,36.7000007629,47.9000015259,164.1000061035,41.0999984741,5.3000001907,4.8000001907,,,101.40000020709999,9347.7002347709,
1971.0,65.5999984741,,6.5,230.6999969482,,41.5,,3.4000000954000003,,5540.7998046875,3.2999999523000003,42.4000015259,57.4000015259,180.1999969482,46.7999992371,6.5,6.1999998092999995,,,108.1999982223,10202.9998730422,
1972.0,79.4000015259,,7.599999904600001,220.1999969482,,48.7000007629,,3.4000000954000003,,6283.0,4.8000001907,54.2999992371,79.6999969482,254.3000030518,52.7000007629,7.0,5.3000001907,,,112.7999990881,11722.1999234928,
1973.0,85.4000015259,,9.5,266.6000061035,,68.5999984741,,3.5,,7060.1000976563,5.8000001907000005,67.5999984741,85.9000015259,316.700012207,46.7000007629,7.1999998092999995,7.1999998092999995,,,119.00000235430001,13670.3000951558,15568.700122676599
1974.0,96.0,,10.3000001907,315.299987793,,110.3000030518,29.2000007629,3.0,,7255.3999023438,9.6999998093,67.5,98.1999969482,407.1000061035,55.2000007629,6.6999998092999995,7.3000001907000005,,2123.5999943988,158.400002293,14673.1999115723,16955.199908264098
1975.0,91.0999984741,,10.1999998093,326.5,,114.5,46.2000007629,0.8999999762,,6999.6000976563,10.899999618499999,76.1999969482,74.5999984741,460.5,57.2000007629,4.3000001907,11.0,,2434.3999969218,180.50000016419997,14621.3001411929,17236.2001382789
1976.0,105.4000015259,,10.6000003815,354.200012207,,136.6999969482,49.0,,,7438.2001953125,11.0,87.0999984741,96.3000030518,471.6000061035,75.6999969482,3.5999999045999997,17.6000003815,,2844.7000288965,205.40000146650002,16250.2003465444,19300.3003769074
1977.0,117.3000030518,,11.800000190699999,376.1000061035,,140.6999969482,60.0,,,7920.6000976563,11.600000381500001,92.3000030518,119.8000030518,499.299987793,105.1999969482,4.0999999046,22.6000003815,,3138.2999891790996,191.7000007182,17992.800101176203,21322.800091073503
1978.0,128.8999938965,,14.399999618499999,459.8999938965,,164.0,86.0,,,8406.7998046875,13.199999809300001,106.0999984741,120.5,571.299987793,102.0999984741,3.4000000954000003,22.5,,3500.0000021087,206.4999995754,19873.399775341102,23579.8997770252
1979.0,124.9000015259,,14.100000381500001,528.299987793,,176.3000030518,123.0,,,8658.099609375,10.6999998093,121.6999969482,136.8000030518,570.5,85.0,4.5,30.3999996185,,3743.6000318973997,241.2000008452,21641.8996763828,25626.6997091254
1980.0,119.8000030518,,13.800000190699999,516.5,,185.8999938965,120.9000015259,,,8615.400390625,9.3999996185,131.5,195.3999938965,588.200012207,144.8999938965,9.3000001907,25.6000003815,,4102.5999815833,255.6000005902,22467.0003804565,26825.20036263
1981.0,125.0,,12.800000190699999,556.4000244141,,199.6000061035,155.3999938965,,,8606.900390625,9.8999996185,137.0,195.5,644.9000244141,153.3000030518,15.699999809300001,30.3999996185,,4537.3000009953,293.100001909,23530.1002988219,28360.500301726202
1982.0,120.5,,4.1999998093,576.0,,221.3999938965,184.1999969482,,,8295.7998046875,9.6999998093,110.5999984741,170.6999969482,734.700012207,141.6999969482,25.5,38.7999992371,,4830.0000397712,295.09999968110003,23921.1997464229,29046.2997858752
1983.0,116.5,,4.9000000954,624.9000244141,,262.8999938965,216.0,,,9284.5,16.6000003815,109.1999969482,174.3000030518,692.0999755859,120.3000030518,33.2999992371,33.9000015259,,5221.0999622491,273.2999987752,26913.4999460355,32407.8999070598
1984.0,120.6999969482,,6.5,734.0999755859,,288.3999938965,302.0,,,10293.099609375,19.6000003815,145.8000030518,179.8000030518,831.700012207,105.4000015259,30.5,30.7000007629,,5872.3000500952,288.1999972015,30681.499556951,36841.9996042477
1985.0,121.6999969482,,7.900000095399999,814.799987793,0.1000000015,305.3999938965,403.0,,,9672.2001953125,19.1000003815,170.0,187.1000061035,909.200012207,114.1999969482,28.7000007629,36.2000007629,,5775.2000310943995,321.2000008374,30965.3001428471,37061.7001747789
1986.0,123.5999984741,,9.5,859.299987793,0.1000000015,318.6000061035,467.5,,,10619.0,18.8999996185,155.1000061035,192.0,1014.4000244141,137.1999969482,32.4000015259,43.9000015259,,6049.900054812801,309.1000043302,33972.800026811405,40331.8000859544
1987.0,115.9000015259,,10.3000001907,990.799987793,0.1000000015,335.3999938965,647.5,,,12023.2001953125,24.2000007629,169.0,197.5,1013.700012207,186.3999938965,37.2000007629,50.9000015259,,6914.6000299678,346.1000010299,38132.000106729596,45392.700137727305
1988.0,120.8000030518,,13.5,1027.0999755859,0.1000000015,320.299987793,731.799987793,,,13875.599609375,20.6000003815,121.5,193.6000061035,975.799987793,242.8000030518,29.5,48.7999992371,,7380.799977563101,373.3999945074,42664.4000219557,50418.599994026205
1989.0,127.5999984741,,28.7999992371,1125.3000488281,0.1000000015,317.3999938965,683.0999755859,,,14651.0,16.2999992371,114.4000015259,201.1999969482,1147.9000244141,329.5,17.0,34.0,,7608.5000165626,385.9999996275,46433.7002786846,54428.200294874696
1990.0,129.6000061035,,48.9000015259,1222.3000488281,0.1000000015,325.1000061035,818.299987793,,,14791.400390625,18.7999992371,143.1999969482,213.6000061035,1082.0,418.5,23.5,31.5,,7887.1000597324,361.80000267919996,47876.0002876968,56124.9003501084
1991.0,122.8000030518,,38.0999984741,1222.5999755859,1.0,379.8999938965,1009.5,,,14486.2001953125,19.7000007629,162.6999969482,201.8999938965,1005.299987793,428.8999938965,27.5,55.9000015259,2.0,8092.7999352811,309.2000034601,47740.3001422135,56142.300080954694
1992.0,118.4000015259,0.200000003,42.7999992371,1361.5,1.1000000238,409.8999938965,1316.0,,,15617.599609375,18.3999996185,158.8000030518,206.6999969482,1143.3000488281,529.0,10.3000001907,56.5999984741,11.100000381500001,8971.6000812568,286.6000005902,51766.9996566477,61025.199738494695
1993.0,127.0,0.30000001190000003,49.2999992371,1525.8000488281,1.1000000238,473.0,1547.0,,,16343.0,19.7999992371,150.8999938965,232.0,1284.3000488281,616.200012207,9.8000001907,53.2999992371,21.7999992371,10426.200065761801,278.39999841919996,56818.0001258107,67522.6001899917
1994.0,136.0,0.400000006,54.7999992371,1645.5,1.3999999762,555.5999755859,1717.1999511719,,1.7999999522999999,19083.80078125,19.7999992371,225.1999969482,206.1999969482,1468.5,652.5,7.1999998092999995,49.2999992371,25.3999996185,11872.499905631,325.5000010653,64985.300424471796,77183.3003311681
1995.0,139.1000061035,0.400000006,66.1999969482,1737.5,1.2000000477,580.299987793,1501.0,,1.8999999762,19622.900390625,21.7999992371,155.8999938965,177.0,1581.9000244141,775.4000244141,1.8999999762,57.7000007629,27.2999992371,12399.8000825646,293.1999972982,70405.2003179717,83098.2003978345
