,Norway,Estonia,Poland,Australia,Vanuatu,New Zealand,China,Vietnam,Georgia,United States,Jamaica,Mexico,Argentina,Brazil,Chile,Nigeria,Morocco,Namibia,Middle income,Low income,High income,World
1960.0,,,,,,,,,,,,,,,,,,,,,,
1961.0,,,,,,,,,,,,,,,,,,,,,,
1962.0,,,,,,,,,,,,,,,,,,,,,,
1963.0,,,,,,,,,,,,,,,,,,,,,,
1964.0,,,,,,,,,,,,,,,,,,,,,,
1965.0,,,,,,,,,,,,,,,,,,,,,,
1966.0,,,,,,,,,,,,,,,,,,,,,,
1967.0,,,,,,,,,,,,,,,,,,,,,,
1968.0,,,,,,,,,,,,,,,,,,,,,,
1969.0,,,,,,,,,,,,,,,,,,,,,,
1970.0,,,,,,,,,,,,,,,,,,,,,,
1971.0,,,,,,,,,,,,,,,,,,,,,,
1972.0,,,18.8619402985075,,,,,,,,,,,,,,,,,,,
1973.0,,,,,,,,,,,,,,,,,,,,,,
1974.0,,,,,,,,,,,,,,,,,,,,,,
1975.0,,,,,,,,,,,,,,,,,,,,,,
1976.0,,,,,,,,,,,,,,,,,,,,,,
1977.0,,,25.242537313432802,,,,,,,,,,9.452054794520551,,,,31.0344827586207,,,,,
1978.0,,,,,,,,,,,,,,,,,,,,,,
1979.0,,,,,,,,,,,,,,,,,,,,,,
1980.0,,,,,,,,,,,,,,,,,,,,,,
1981.0,,,,,,,,,,,,,,,,,,,,,,
1982.0,0.523560209424084,,28.2276119402985,,,0.3669724770642199,15.7731958762887,10.534223706177,,18.3676366217175,,13.6845965770171,,,,,34.6551724137931,,,,,
1983.0,,,,,,,,,,,,,,,,,,,,,,
1984.0,,,,,,,,,,,,,,,,,,,,,,
1985.0,,,,,,,,,,,,,,,,,,,,,,
1986.0,,,,,,,,,,,,,,,,,,,,,,
1987.0,,,30.615671641791,,,0.581039755351682,17.1027372911482,12.595993322203698,,,,,,0.61897191308956,,2.52941176470588,37.931034482758605,2.2727272727272703,,,,
1988.0,,,,,,,,,,,,,,,,,,,,,,
1989.0,,,,,,,,,,,,,,,,,,,,,,
1990.0,,,,,,,,,,,,,,,,,,,,,,
1991.0,,,,,,,,,,,,,,,,,,,,,,
1992.0,,20.6923682140047,24.962686567164198,,,,17.7746178457163,,,16.5046132008517,,,,,2.29265536723164,,38.068965517241395,4.03733766233766,,,,
1993.0,,,,,,,,,,,,,,,,,,,,,,
1994.0,,,,,,,,,,,,,,,,,,,,,,
1995.0,,,,,,,,,,,,,,,,,,,,,,
1996.0,,,,,,,,,,,,,,,,,,,,,,
1997.0,0.633507853403141,10.684500393391,23.8619402985075,4.47764227642276,,,18.6775684322787,,,,8.572088724584098,,9.787671232876711,0.9685567920862042,,,38.8275862068966,4.33279220779221,,,,
1998.0,,,,,,,,,,,,,,,,,,,,,,
1999.0,,,,,,,,,,,,,,,,,,,,,,
2000.0,,,,,,,,,,,,,,,,,,,,,,
2001.0,,,,,,,,,,,,,,,,,,,,,,
2002.0,0.6280104712041881,11.117230527144,21.865671641791,4.36991869918699,,0.9602446483180429,19.5449697831497,,,16.8026969481902,,17.677261613691897,,,,4.66515837104072,51.1034482758621,4.5762987012986995,,,,
2003.0,,,,,,,,,,,,,,,,,,,,,,
2004.0,,,,,,,,,,,,,,,,,,,,,,
2005.0,,,,,,,,,,,,,,,,,,,,,,
2006.0,,,,,,,,,,,,,,,,,,,,,,
2007.0,0.792146596858639,14.4295830055075,22.4253731343284,3.76219512195122,,1.50091743119266,20.3092783505155,22.776850306065697,3.11887149492517,16.9836763662172,7.5,19.2298288508557,,1.0257904963787299,3.9954802259887003,5.23529411764706,,,,,,
2008.0,,,,,,,,,,,,,,,,,,,,,,
2009.0,,,,,,,,,,,,,,,,,,,,,,
2010.0,,,,,,,,,,,,,,,,,,,,,,
2011.0,,,,,,,,,,,,,,,,,,,,,,
2012.0,,12.832415420928399,21.3992537313433,3.1402439024390203,,1.59051987767584,21.3224315677213,,3.1360743161878504,14.8580553584102,,20.026894865525698,12.9075342465753,1.3209680268503798,,5.6425339366515805,35.6896551724138,,,,,
2013.0,,,,,,,,,,,,,,,,,,,,,,
2014.0,,13.532651455546802,21.3992537313433,3.1402439024390203,,1.59051987767584,21.3224315677213,,,14.8580553584102,,20.026894865525698,12.9075342465753,1.3209680268503798,,5.6425339366515805,35.6896551724138,,,,,
2015.0,,,,,,,,,,,,,,,,,,,,,,
2016.0,,,,,,,,,,,,,,,,,,,,,,
2017.0,,,,,,,,,,,,,,,,,,,,,,
2018.0,,,,,,,,,,,,,,,,,,,,,,
2019.0,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
