,Norway,Estonia,Poland,Australia,Vanuatu,New Zealand,China,Vietnam,Georgia,United States,Jamaica,Mexico,Argentina,Brazil,Chile,Nigeria,Morocco,Namibia,Middle income,Low income,High income,World
1960.0,,,,,,,,,,,,,,,,,,,,,,
1961.0,,,,,,,,,,,,,,,,,,,,,,
1962.0,,,,,,,,,,,,,,,,,,,,,,
1963.0,,,,,,,,,,,,,,,,,,,,,,
1964.0,,,,,,,,,,,,,,,,,,,,,,
1965.0,,,,,,,,,,,,,,,,,,,,,,
1966.0,,,,,,,,,,,,,,,,,,,,,,
1967.0,,,,,,,,,,,,,,,,,,,,,,
1968.0,,,,,,,,,,,,,,,,,,,,,,
1969.0,,,,,,,,,,,,,,,,,,,,,,
1970.0,,,,,,,,,,,,,,,,,,,,,,
1971.0,,,,,,,,,,,,,,,,,,,,,,
1972.0,,,,,,,,,,,,,,,,,,,,,,
1973.0,,,,,,,,,,,,,,,,,,,,,,
1974.0,,,,,,,,,,,,,,,,,,,,,,
1975.0,,,,,,,,,,,,,,,,,,,,,,
1976.0,,,,,,,,,,,,,,,,,,,,,,
1977.0,,,,,,,,,,,,,,,,,,,,,,
1978.0,,,,,,,,,,,,,,,,,,,,,,
1979.0,,,,,,,,,,,,,,,,,,,,,,
1980.0,,,,,,,,,,,,,,,,,,,,,,
1981.0,,,,,,,,,,,,,,,,,,,,,,
1982.0,,,,,,,,,,,,,,,,,,,,,,
1983.0,,,,,,,,,,,,,,,,,,,,,,
1984.0,,,,,,,,,,,,,,,,,,,,,,
1985.0,,,,,,,,,,,,,,,,,,,,,,
1986.0,,,,,,,,,,,,,,,,,,,,,,
1987.0,,,,,,,,,,,,,,,,,,,,,,
1988.0,,,,,,,,,,,,,,,,,,,,,,
1989.0,,,,,,,,,,,,,,,,,,,,,,
1990.0,,,,,,,1.061,,,,,,,,,,,,,,,
1991.0,,,,,,,,,,,,,,,,,,,,,,
1992.0,,,,,,,,,,,,,,,0.021,,,,,,,
1993.0,,,,,,,,,,,,,,,,,,,,,,
1994.0,,,,,,,,,,,,,,,,,,,,,,
1995.0,,,,,,,1.078,,,,,,,,,,,,,,,
1996.0,,,,0.039,,,1.057,,,,,,,,,,,,,,,
1997.0,,,,,,,1.051,,,,,,,,,,,,,,,
1998.0,,,,,,,1.052,,,,,,,,,,,,,,,
1999.0,,,,,,,1.043,,,,,,,,,,,,,,,
2000.0,,0.031,,,,,1.033,,,,,,,,,,,,,,,
2001.0,,,,0.19699999999999998,,,0.084,,,,,,,,,,,,,,,
2002.0,,,,,,,,,,,,,,,,,,,,,,
2003.0,,,,,,,0.6679999999999999,,,,,,,,,,,,,,,
2004.0,,,,,,,0.6759999999999999,,,,,,,,,,,,,,,
2005.0,,,,,,,0.698,,,,,,,,,,,,,,,
2006.0,,,,0.049,,,0.725,,,,,,,,,,,,,,,
2007.0,,,,,0.514,,0.7020000000000001,,,,,,,,,0.131,,,,,,
2008.0,,,,,0.941,,0.703,,,,0.268,,,,,0.128,,,,,,
2009.0,,,,,,,0.83,,,,,,,,,,,,,,,
2010.0,,,,,,,0.81,,,,,,,,,,,,,,,
2011.0,,,,,,,0.831,,,,,,,,,,,,,,,
2012.0,,,,,,,,,,,0.233,,,,,,,,,,,
2013.0,,,,,,,,,,,0.251,,,,,,,,,,,
2014.0,,,,,,,,,,,0.255,,,,,,,,,,,
2015.0,,,,,,,,,,,0.307,,,,,,,,,,,
2016.0,,,,,,,,,,,0.319,,,,,,,,,,,
2017.0,,,,,,,,,,,,,,,,,,,,,,
2018.0,,,,,,,,,,,,,,,,,,,,,,
2019.0,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
