,Norway,Estonia,Poland,Australia,Vanuatu,New Zealand,China,Vietnam,Georgia,United States,Jamaica,Mexico,Argentina,Brazil,Chile,Nigeria,Morocco,Namibia,Middle income,Low income,High income,World
1960.0,7681.14052147874,,904.5650013749499,1825.62564972412,,2457.20549793406,,,,4049.7866287340003,,,,,,,,,,,2273.63993989104,
1961.0,8404.62075461244,,987.9188359364571,1947.15253267195,,2616.85332892507,,,,4182.1755012493795,,,,,,,,,,,2388.2342705762803,
1962.0,9390.978307288051,,1062.1772770015,2012.6605846211103,,2751.81305398872,,,,4433.60602129325,,,,,,,,,,,2546.03956935565,
1963.0,9658.705203302192,,1092.69992185465,2211.68949771689,,3078.83719093135,,,,4690.4862556937705,,,,,,,,,,,2718.9576531745,
1964.0,10553.4440667194,,1167.0405225525801,2417.21142652458,,3250.56084164926,,,,4970.44645602406,,,,,,,,,,,2913.01455358599,
1965.0,11416.3529553327,,1251.01168868133,2625.2195293291197,,3513.16390199361,,,,5234.68500229024,,,,,,,,,,,3061.44394469768,
1966.0,11655.9712572195,,1361.5416180044801,2765.0845420993896,,3677.6411674576793,,,,5590.33374033374,,,,,,,,,,,3266.85578214833,
1967.0,12256.9750239065,,1484.0644627507502,2969.4889397406605,,3712.4187805146703,,,,5888.34091549579,,,,,,,,,,,3457.16985422698,
1968.0,13494.8746045446,,1592.74034666108,3102.0068282121697,,3880.4992540300605,,,,6385.45932857015,,,,,,,,,,,3743.8247030298103,
1969.0,13230.2173736202,,1701.9014817978198,3329.60939411237,,4087.92556260819,,,,6904.83379959245,,,,,,,,,,,4056.5688535400604,
1970.0,13454.125032929,,1806.8349849836102,3609.9784120892296,,4271.53378162024,,,,7236.657043091509,,,,,,,,,,,4398.4751820311,
1971.0,14084.40961005,,1955.77043329724,3751.6425755584796,,4694.006309148271,151.989347346645,40.329075363779396,,7517.30464555213,815.0079085174631,507.513955409123,874.459352335354,459.88569074459394,761.2599641929221,28.5704397385112,125.19203093704901,,205.79616282017503,,4202.55040695008,1200.0587242195402
1972.0,14488.4164877534,,2111.74186561148,3880.92889124991,,5306.65656530872,163.911928819183,37.67414494784779,,8076.40926935244,966.8750968942171,551.234803810273,925.3169216541071,499.04173752004897,787.832228157797,32.7277517425482,138.888131928273,,220.08135379220903,,4502.025635663061,1273.64448833369
1973.0,15541.790006191,,2264.72845442663,4230.34379671151,,5525.95144024584,175.93373698891102,39.3317887434481,,8573.19415409445,1001.0300085308698,582.377379796426,962.266125350897,554.628192626451,757.8540417924361,35.2992304285355,152.1539878129,,235.254933554254,,4808.0731620447705,1347.56745640575
1974.0,16286.7749089268,,2413.2024030833104,4578.88216862202,,5461.52065350399,174.23335369578498,33.8875923591642,,8449.92845586241,1045.8842951715699,627.376316969278,993.233054890324,604.9785133063469,800.571647854336,32.8484554343335,157.754395185614,,244.00107539547798,,4823.734254903629,1347.0572429988902
1975.0,16313.9240683221,,2593.16430869624,4781.61664147412,,5795.465602802371,199.03971540656602,38.8766503615313,,8522.39400295407,695.753879653809,655.885633247631,1011.9936088521001,651.496665079686,731.1910427067489,45.7756549824031,163.23742577333,,264.429229347753,,4843.07907679197,1356.0645019666902
1976.0,16913.42005965,,2741.2439639891395,4901.58911138032,,6094.8400578685105,204.03036473135398,46.318910074668295,,8968.7756552847,736.122294580281,694.8151266308411,1032.48922002898,722.08145266051,768.717466164439,51.57818039355129,178.802565701426,,280.312241357789,,5141.7402310488205,1427.1553070145098
1977.0,16515.363430743702,,2871.9149126309303,5251.197857948139,,6149.926286776489,220.657053065594,53.26264468751229,,9337.72401799863,756.428561473757,737.4275732539301,1081.7512269986698,790.221838852917,793.845595521067,59.178792987136,192.480241640039,,297.82916981758,,5329.97012824585,1473.08168014151
1978.0,17314.7811192383,,2988.07971263184,5416.28360495891,,6150.51903114187,246.55577227779702,54.042594918321704,,9560.5454096188,756.443660617492,794.667867299645,1093.41667378945,860.302363371917,834.057388450799,60.688373904825,206.088530973878,,320.13762146377996,,5531.865916176121,1525.20220409022
1979.0,18862.2908142557,,3009.8546503685698,5665.97767672592,,6180.44387262785,267.374265354668,52.8859294197344,,9700.69538557242,685.019821500995,840.467705646568,1217.17287982878,941.699154733262,876.4200621650509,59.8224823538741,222.575852303091,,341.963703397597,,5706.53922933813,1570.05651814155
1980.0,18725.6768862498,,3076.41925386833,5915.26000544514,,6343.60242860355,281.62468725636603,53.977530535715395,,9862.36549675432,661.165889758217,887.0540578782851,1243.63146553578,1016.653610371,902.766077362736,68.0571063542988,236.868292025037,,360.204618923376,,5773.17925793053,1587.0994128535501
1981.0,19431.1684117529,,2884.2082280285804,6153.34628525491,,6496.84789913277,285.817775698396,54.3200241529593,,9976.69371497302,645.903971968041,926.6705340612151,1197.5927461266099,1021.5478348616801,919.0974902983189,50.9010398684781,248.733930135258,,370.30776143972804,,5836.18760436722,1596.50644966646
1982.0,19357.745613564,,2900.1271056820897,6391.29002503624,,6872.40581730617,299.197921933712,56.7110685115119,,9544.46094343532,769.004550913428,980.950187995399,1208.66630724677,1055.95083267276,887.3534549095269,81.895918540412,262.19965879732496,,384.43342840958604,,5733.65792973429,1571.1077288911702
1983.0,20497.3704302263,,3044.7496607222697,6366.1266185178,,7299.40924577251,317.020257790894,56.0634668712376,,9742.00571448125,741.283318132036,999.899613940715,1259.17370032247,1111.75212807465,906.4524906029241,81.7353532412834,280.48271125782003,,400.60716207654406,,5907.3265075545805,1608.40283629549
1984.0,21939.8135165367,,3159.80860030478,6699.56253216675,,7512.627436398,336.411641308803,64.9610127223606,,10282.3746422135,593.57448037302,1038.42996490602,1300.79964440371,1208.6243211091,966.871127040723,62.0635637708643,282.96600549306703,,424.500559820662,,6215.5885751940605,1680.0288917738
1985.0,22559.0942936764,,3260.42618539356,7007.615179591321,,7555.66505497213,362.812071852641,68.0003772288495,,10414.207898320501,580.601239129783,1077.43149712072,1288.87478170294,1283.05437375734,988.1509991322681,80.45447503933721,294.54498422382005,,444.487833905744,,6393.6602059039205,1719.19318299955
1986.0,22177.6215795442,,3384.36024298193,7309.094541277529,,7875.11936666359,391.351624968363,71.00218679672041,,10424.4272965398,607.252855084958,1095.6312920029,1330.3706274908802,1354.5034660761098,1028.1361063868599,90.8864087904635,307.219194150129,,468.478211261399,,6489.069754987961,1743.3293094296698
1987.0,22800.1351833873,,3519.95968997064,7525.685721137,,7901.294893720991,426.554493166734,77.68990259830579,,10886.8582560496,642.840995153223,1141.50135780795,1413.84726954153,1368.10851224475,1054.42380259503,89.30352923731449,311.20917709248,,490.28273691066596,,6765.89283852941,1803.76515352617
1988.0,22979.991865994198,,3568.53484886656,7800.534714073141,,8133.03283182067,461.797518222997,84.6892325157697,,11298.3325085174,613.958837554527,1176.10476838716,1452.3058532823402,1419.63061211194,1121.52299849903,87.1395141898518,340.911106581806,,516.036068558278,,7009.74975172565,1859.94152545026
1989.0,22859.300466228102,,3537.9238807794104,8129.10362546389,,8465.38554801164,487.373173021052,91.64505717590721,,11531.9323066701,579.58013933223,1232.4792706123599,1320.35657186199,1449.93138169633,1208.7673268774902,97.0707136600717,335.610439627915,,534.3728965928859,,7188.71205977804,1897.2987322724698
1990.0,23353.915019617,5755.89450245798,3272.30231066893,8527.228085390649,,8972.310649288249,510.619854913516,95.25089565405581,3039.15035401916,11713.3317042099,867.802303064664,1185.04036756694,1303.9778990247,1460.76034878789,1237.62460146702,87.0789481837722,359.166125095747,,903.260735350011,,7296.31042530872,2127.31272018147
1991.0,23808.6299185402,5617.06357593668,3088.2289382370695,8522.15922240222,,8842.379331063492,548.9537531065889,98.78025467534191,2696.7058872185103,12134.1721315039,713.3094524981,1295.4110880214698,1347.59212793615,1486.22457039677,1313.9430161320402,89.5997969931328,371.53008320848704,1042.40890605992,906.5272512547199,,7473.149754532579,2152.98931096795
1992.0,23787.3218114684,4933.8232368463505,2961.39573935933,8550.32866533295,,8636.633915678001,604.693683099136,101.843192492197,2125.1667179645,12014.9582478929,1446.53763496785,1317.63213513368,1410.3772918071802,1494.0614956445402,1457.08919337784,90.05437307330321,402.1172548868,1005.3013992477,897.879271477496,,7480.578949104821,2133.91536552459
1993.0,23967.118669774598,4049.8538277845,2977.71210039944,8701.76034414445,,8909.35557919489,662.63704558569,112.060380157717,1936.8369611695998,12261.5237824091,1525.8105893911302,1312.5689418298,1496.9041461183301,1537.59271699385,1514.74330791168,100.885336254545,402.099727537959,1076.45741337701,894.4131632435519,,7583.653210233,2139.9075673755397
1994.0,24247.263936164,4354.830107609229,2993.1775322569897,8812.48949873985,,8927.90055248619,727.107359659684,129.312185984487,1988.5957127224601,12455.1621656545,1696.66283120696,1401.1318109418698,1576.7670604190303,1566.76124114953,1588.6954569776,95.56127289666901,421.373705362957,954.880633638686,895.656169073215,,7752.24342573755,2162.94203705096
1995.0,24528.4438555473,4244.64407775397,3060.8888747707697,8994.35590969456,,9106.82201774922,770.280241190849,153.102782266952,1492.36042855284,12659.607628118001,2051.14158639245,1419.90329061412,1648.89513287663,1634.39803713983,1745.3747222176999,91.4882105407184,431.128851514674,953.3960125686099,912.308883015562,,7939.43798449052,2200.2613879307896
1996.0,23998.8441881654,4556.39116865429,3159.0418173811,9108.29556004587,,9072.88317256163,821.080859102296,179.837334764425,1150.7894896786302,12854.2989079193,2104.6361793408,1444.36145499153,1728.12102600965,1687.08517674923,1926.5295937513101,85.9049751640015,433.80180446797203,1034.6415547157699,933.916363016163,,8114.116549641501,2239.26955079827
1997.0,24326.0342366912,4811.59813795296,3206.23777802961,9291.08386887725,,9090.52442281755,852.740686543503,202.89573308847199,1331.5208832912301,12889.8322801175,2159.12591585795,1528.18379410039,1848.0019970032101,1762.41069262762,2069.3591736089397,82.0041569162235,451.168926372524,990.5584818189529,950.5184066957761,,8224.96952849556,2262.03431963242
1998.0,25424.1036370825,4733.95490839415,3206.59177066855,9783.44289455401,,9125.032765399741,870.617222318398,232.96210198947202,1517.81255898579,13154.7630268185,2237.74787044061,1643.04647895061,1967.2544444502698,1808.34318646643,2176.96496525876,76.9688664846701,479.85725447300797,1086.2541210956801,955.5084217730499,,8379.64631714099,2284.30215687611
1999.0,25057.189595583797,4460.368108044339,3171.75738369759,10036.4577829441,,9138.74475241845,913.963447975829,253.30270605862003,1563.79594687953,13281.8699827982,2263.85710351639,1689.1858622682998,2033.77181116476,1832.3782956200198,2392.96172210937,75.76719123483942,453.33928133213203,1156.55503075926,973.418083186978,,8531.518701104591,2316.9352654554
2000.0,24993.7262954727,4540.49256076479,3256.1804553947804,10193.912180859399,,9384.3481867434,992.943384720171,286.62097249605,1574.3914041516,13671.052024006101,2276.33921861633,1800.46793804379,2088.8081396255498,1897.35313747888,2499.29068898363,74.490621615201,490.0381087112901,1052.06202485162,1015.74302198725,,8811.13561155448,2386.43046719473
2001.0,25590.6894288143,4680.44794559529,3260.03326284961,10636.3776850564,,9417.343125885842,1076.5491213586502,326.531880069751,1583.5598734845998,13046.6141478464,2277.6369105792,1834.1514225092499,2120.57994317578,1747.93960140896,2628.68670781142,75.56977625556479,524.920235402126,1090.1083089502902,1037.5613645545698,,8726.21842933636,2380.05349136941
2002.0,24620.3361318984,4767.462935440611,3208.39215655912,10813.1227291694,,9526.65569203495,1194.85629490784,377.558396910889,1653.3807211987398,13296.1822993023,2345.47476739285,1843.9636744771499,2014.4765573381399,1806.66971449756,2727.86816513137,104.661047355753,536.008295838555,1127.18016465364,1084.0015699404198,,8876.708818467621,2434.8154864842
2003.0,23201.394129715,5158.60277810202,3324.4713917732897,10434.8743930758,,9407.032181168059,1379.4846321018301,433.199059809927,1749.8638573022101,13307.4920085002,2408.6184694458702,2001.01822818595,2180.32681692764,1882.26400762918,2897.7923300776597,101.92521368605101,581.642798595327,1169.69832107314,1160.11229795339,,8955.92403739108,2500.19667036832
2004.0,24214.1069838041,5429.5255219991905,3416.11863238342,10554.8158232062,,9666.2996941896,1585.83878247787,483.95900254820396,1814.45965971879,13388.5897105591,2380.17038438321,1927.07392279603,2293.30936850936,1956.1593594086498,3064.44513699088,123.63248468143298,612.281885162762,1453.5485612595,1239.8706331010198,,9086.71629387134,2578.05895147968
2005.0,25083.2145326781,5531.54582864313,3437.32399818737,10458.4501931865,,9673.67377053146,1782.3121529162697,569.9568572683149,1916.4790290454603,13704.5770481407,2397.07766743321,1996.3925732966102,2408.4325246662397,2015.79992356084,3095.64751193572,129.327029350575,634.46541011016,1521.4206116637101,1312.33206691389,,9250.80258966737,2655.85017764857
2006.0,24099.9322630596,5869.42478894573,3584.9621880678496,10490.48454191,,9700.09080915739,2039.0146603407998,645.209019312072,1769.17167459508,13583.266959338702,2371.83538961381,2020.9528709019198,2374.09747110948,2072.36264721709,3222.4150607074394,111.75241395456999,688.1745869613401,1606.5401962241501,1416.4744373440199,,9264.105696666491,2732.1224053466603
2007.0,24855.00046399,6277.41146283975,3661.6461038347798,10972.8917398068,,9640.60798333254,2325.92676902765,728.088243831559,1829.9769076809803,13657.4528282523,1926.86510174202,2047.5311178838397,2455.656576487,2167.60658365478,3339.4645374721804,138.909410926038,717.2774531423171,1606.2683838737198,1519.42838627207,,9356.82012710593,2821.7700514689195
2008.0,24866.1343077867,6364.567830138579,3725.74877788007,10749.110554750301,,9556.31719799052,2446.36905458402,802.554045489828,1881.53721148442,13663.427968182701,1160.3680394093801,2046.6944488183399,2772.84322218275,2229.84529915118,3338.2893656538,127.244612838351,733.523754193155,1638.93992054396,1563.70242969383,,9313.98664903201,2843.0617424187
2009.0,23859.7095797111,5975.95381093506,3590.8320811578997,10791.5930978208,,9403.84883558778,2612.45662004417,906.154085899627,1833.04456065262,12913.7146883015,1222.1742540784699,1995.29827739281,2730.1232316311803,2197.12554728151,3296.54073453887,120.63507586295201,745.715027805211,1583.33990054992,1599.15617757779,,8910.80227038771,2793.57241074533
2010.0,24890.9240104621,6506.31818096472,3797.0922955869105,10726.9281831902,,9601.90314202312,2943.5899544368895,1022.4326667538301,2049.54452365453,13394.9485702119,1216.17101826747,2018.8274013008102,2877.65265331343,2374.1166526287197,3306.95272965285,136.42627031680598,775.9545544222341,1586.2198507320402,1735.13416781501,,9286.189926340021,2957.6306634490197
2011.0,23510.383825201603,6314.41444766954,3879.542093812,10627.2938650379,,9458.48540145985,3298.0039133119603,1102.8049794241801,2289.13484865062,13246.029529448999,1204.9134992422,2216.90610141678,2929.07502855568,2430.8033959668,3583.5859023107,150.198024237218,825.8228257404629,1610.79352214331,1858.68967072845,,9170.12182352758,3022.86715931961
2012.0,24070.9859157175,6689.36777611787,3899.1766422780797,10407.7403070759,,9360.949161770379,3474.9880617015697,1206.30289448443,2329.92587038339,12964.3301891078,1037.60134997249,2253.5144252371697,3000.60352326565,2501.47405281669,3807.5102755134703,156.797185498593,876.84523910157,1660.75568256375,1922.59853136941,,9106.98864716464,3048.47696936922
2013.0,23806.8848810237,6664.65856902557,3938.2552077281603,10220.8873013463,,9089.61977443101,3773.4053839013395,1276.8437112797199,2498.34035744989,13004.1149096791,1013.04469954794,2144.08892593167,2967.3765580521804,2568.82970799499,3879.8607313533203,142.729253580205,881.429309490984,1692.40343674306,2011.50181351743,,9106.71919761754,3108.72640964473
2014.0,22999.9345951283,6732.36747315611,3971.79976131055,10071.3989785006,,9026.32104131095,3927.04449998901,1423.68834535005,2693.97276022513,12993.9618247727,1050.7329044608698,2157.3239488391396,3074.70207056563,2619.96061573831,3879.6756048595003,144.525462223266,904.4421548482761,1652.56902565727,2064.16567760738,,9042.60268786361,3130.70968393647
2015.0,,,,,,,,,,,,,,,,,,,,,,
2016.0,,,,,,,,,,,,,,,,,,,,,,
2017.0,,,,,,,,,,,,,,,,,,,,,,
2018.0,,,,,,,,,,,,,,,,,,,,,,
2019.0,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
