,Norway,Estonia,Poland,Australia,Vanuatu,New Zealand,China,Vietnam,Georgia,United States,Jamaica,Mexico,Argentina,Brazil,Chile,Nigeria,Morocco,Namibia,Middle income,Low income,High income,World
1960.0,12.9372853326549,,9.56218837511099,12.532052776353199,,16.4803668672972,,,,9.07051454396076,,,,,,,,,9.91119005328597,,9.40330145175581,9.40416462902924
1961.0,10.3497039153876,,9.16873449131514,11.4754098360656,,16.3761225567882,,,,8.837363191895529,,,,,,,,,9.39887080704085,,9.17112865794083,9.17151842721677
1962.0,9.60736485954835,,8.949779436715302,11.9312395616929,,15.7829839704069,,,,8.57664960244946,,,,,,,,,9.24157303370787,,8.89993149256212,8.90057418968234
1963.0,9.28469563912032,,9.07663571641266,11.5679544292704,,14.7621651175506,,,,8.65528998998597,,,,,,,,,10.595028872709,,8.74271939591254,8.74633738478853
1964.0,9.4091460946985,,9.14510963291451,11.2831131269309,,15.1453957996769,,,,8.63479027121045,,,,,,,,,10.267355650415599,,8.62186135210003,8.62518173703201
1965.0,10.0625630676085,,9.16046224820719,10.6541944353128,,14.452473596442498,,,,9.020270723494448,,,,,,,,,10.0545124167171,,8.67618143002949,8.67905231653761
1966.0,10.0053154516089,,8.70024284658431,10.4514120524794,,14.730092712936498,,,,9.432144071124721,,,,,,,,,10.502612141956401,,8.72345618363557,8.72731061985343
1967.0,10.2992397288491,,8.02014798617754,9.98381419726126,,14.2457389977105,,,,8.92556439890311,,,,,,,,,10.964417968121099,,8.427768941518261,8.43354971461447
1968.0,9.62638674692801,,7.9446918209514905,10.799291221684802,,13.9305891848265,,,,8.906578573458368,,,,,,,,,11.4907727797001,,8.32850645059324,8.33588838588103
1969.0,9.29102145684328,,8.03255720861966,10.4720766548995,,14.0767131594906,,,,8.450156502565381,,,,,,,,,10.691502934422,,7.96514862422018,7.971748329239629
1970.0,8.974336937277618,,8.64212863064098,9.048014418501038,,14.138596867625001,,,,8.74196605560349,,,,,,,,,10.0545053925548,,8.03375846873055,8.038683637042
1971.0,8.934642992066491,,8.19276068855429,8.986709397681212,,13.4771934358444,8.070500927643781,22.0,,8.56291608449084,7.398568019093079,13.7665517574664,10.1591601760921,13.046260033347599,11.2271234162365,13.2485426603074,10.6113537117904,,10.322914450746199,9.3111897631364,7.85459345243082,8.1724345122159
1972.0,8.85459817729909,,8.49891511604971,8.48640771458899,,12.507806733662601,8.04269304610979,22.0,,8.83897166509374,7.422068283028199,12.945285215366699,9.8316604757765,12.766813632864402,10.924557868815802,14.1707644166294,11.2853863810252,,10.3137024246467,9.363538295577131,7.974582543550861,8.27875931846168
1973.0,8.63629517041175,,8.34604566906612,12.727639688873,,11.6939182990664,8.01830587649462,22.0,,8.29556109893162,9.96799268404207,12.439353099730502,9.752072315367009,12.348978772054501,11.2822267853069,19.1619047619048,9.77391304347826,,10.3611111946877,9.546825298467391,7.8077016290642405,8.1449565803444
1974.0,8.15232280536965,,8.29726857380767,10.317084033734199,,12.2902060760569,8.025375383298451,21.980676328502398,,8.32652560752247,8.45378887428822,12.129123560413802,9.817531305903401,11.7086709717011,10.2291061632785,11.412330564057699,10.462842242503301,,10.4027021476976,9.829619921363038,7.50677020710302,7.907601373176861
1975.0,8.38619656076795,,8.7297487187965,10.2869025129453,,13.1102898268819,8.00938067379463,21.993410214168,,8.787863720439951,13.275968039336199,11.7953738275203,11.055447636574302,11.5778805346171,11.337608795235901,16.2528868360277,11.134903640257,,10.380712539811901,9.86498175937418,7.976296216526519,8.33323792806344
1976.0,9.021199819576,,9.469550787280019,10.5338255314693,,11.6424310216257,7.982167086644701,22.015556307068,,8.964820153071368,11.260997067448699,11.051258311589901,10.6996293354514,12.0000444281541,10.8871402393015,18.0711154408183,9.786526199057391,,10.517750466744902,10.156418943271099,7.990038623383731,8.36973557085888
1977.0,9.328590607742449,,8.9676382832224,10.2864693830543,,12.102056708350501,8.00544419698095,21.998272386985303,,8.65370574264912,9.38399539435809,11.387512198855697,11.263999012741802,11.9292757296163,11.333878887070401,14.6827922766815,10.5341987019471,,10.4485642473526,10.406623349402599,7.7039872440598,8.13036828636256
1978.0,9.05132423706379,,9.2798012525951,10.0275077511248,,13.6204103671706,8.109077302067421,22.0,,8.97574815169126,11.154489682097001,10.1631865239516,11.7216007656876,12.0315091946172,10.733590733590699,7.206813714784889,10.483135824977198,,10.5978736959465,10.6687898089172,7.79264014378767,8.24568772370862
1979.0,8.61622619422809,,9.356434796007461,10.0084948644683,,12.9834254143646,8.10888455399894,22.0,,8.71891452296366,13.4991119005329,10.562937907707198,11.2749395605855,12.3795099941628,11.4065026046345,31.2042051608793,9.968911917098449,,10.7082382457064,10.808984425280002,7.58990699755323,8.11376312217238
1980.0,8.514626865671639,,10.0834291100619,9.6247138626961,,12.608426270136302,8.07969929814057,17.6735037932003,,8.77774665062703,14.6778042959427,11.1585675457722,12.6807031682869,11.8123116659492,12.271296059909801,29.069605244804002,9.75795692776825,,10.9459676849629,10.9214598719088,7.69134550365934,8.26081883804335
1981.0,9.1500736868149,,10.0097258365534,10.9521759549155,,13.5128226974525,8.24522262101077,18.3540877097997,,7.407272148325171,15.7363420427553,12.54425413836,12.6625299312547,11.0396871725263,11.1287360160294,49.266975308641996,11.0684357541899,,11.0455452929244,11.682712184749901,7.023654006234009,7.75703713722803
1982.0,8.02117132169845,,9.30737416553689,8.025820539587981,,13.1357629154986,8.0047607421875,18.140243902439,,8.19827192648429,12.7918781725888,12.932240655606599,12.856641428069999,11.929856860128,12.214640721085,24.2850445382091,10.4637917005696,,11.245683115327198,11.2341247929321,7.32537038939187,8.077149517074291
1983.0,7.85971002462055,,9.171423740549589,8.01482225612934,,11.8521873702487,7.81356703847029,18.2137481184145,,8.44277757815307,14.474352463179299,11.111789635673,14.3036532334953,11.2841089517151,14.496197718631198,24.033054057156,9.82650314089141,,11.216719744088499,11.314068322172101,7.49605383638767,8.22291821907601
1984.0,7.11945778028806,,10.2259725400458,7.327091404792651,,11.6440103502314,7.77975039084236,19.0874843030557,,6.929720267850491,16.778115501519803,11.083630507304699,13.9638838233332,10.7597970901388,13.4770689782915,42.2306322350846,10.041901459326699,,11.175984479479402,11.4941661637497,6.725757733035509,7.6175199614425395
1985.0,8.83002852164433,,10.539428874703301,8.804947350827339,,11.506276150627599,7.40948160412963,18.307358453343898,,7.05854353798291,17.114914425427898,11.849788684683098,13.9489671931956,11.374830908396198,13.732193732193698,32.853928187065804,9.77535738597685,,11.360678723412098,11.506153085955,6.94248256549003,7.849153824875589
1986.0,7.131773322574639,,9.82702921960335,7.4201987652942405,,10.536814109742402,7.38771605899495,19.974669802786302,,6.5299250982299695,16.8408826945412,11.065126526242098,16.6846927739118,12.5420525607536,13.212154096581699,27.5961359836522,9.067490984028849,,11.2776333752665,11.601545330464802,6.49199438537111,7.51957167914973
1987.0,8.17317418571718,,10.4309148836788,7.810801152650111,,11.1568970845781,7.263659581313981,18.2118658073046,,5.1930176318376295,17.681940700808603,11.2218995788543,15.7554910740022,13.4652364863203,14.7470742469783,30.1997336884154,8.798900137482821,,11.756550451464,11.6870514961412,5.9724117244043695,7.24129126830984
1988.0,7.00343906633008,,9.76888018540303,7.23024860080698,,10.6590833054533,6.960620678270759,18.717759764185697,,5.04317291348413,19.8798470780994,11.847590613679,14.0240401179038,13.487976105737697,14.8152527342595,32.4094731422687,9.294300979519141,,11.5150098812219,13.1289798976152,5.84902149686125,7.128191366741801
1989.0,6.4937467934969995,,9.03648504385322,7.54817040834364,,10.935008610243,7.06725261195944,21.646968139773897,,9.911998071540971,22.739877981142502,12.6298797842063,17.0834075745877,14.203039864935,11.374992981865098,29.7042066651058,9.41932624113475,,11.858803335358699,12.8064194882795,7.86410810164063,8.7674062027919
1990.0,5.66231673121675,6.675979279436589,7.85626604173641,6.158004238853559,,7.404308073764139,6.995370757869389,25.400299504665398,16.9994170795686,9.26323204008476,14.564686737184699,12.9423241278693,18.3129680725266,14.2271150385287,10.575876333551099,38.416400505088,8.52721229746573,,10.3261318588076,13.5376756066411,7.495359814146731,8.475500159190089
