,Norway,Estonia,Poland,Australia,Vanuatu,New Zealand,China,Vietnam,Georgia,United States,Jamaica,Mexico,Argentina,Brazil,Chile,Nigeria,Morocco,Namibia,Middle income,Low income,High income,World
1960.0,,,,,,,,,,,,,,,,,,,,,,
1961.0,,,,,,,,,,,,,,,,,,,,,,
1962.0,,,,,,,,,,,,,,,,,,,,,,
1963.0,,,,,,,,,,,,,,,,,,,,,,
1964.0,,,,,,,,,,,,,,,,,,,,,,
1965.0,,,,,,,,,,,,,,,,,,,,,,
1966.0,,,,,,,,,,,,,,,,,,,,,,
1967.0,,,,,,,,,,,,,,,,,,,,,,
1968.0,,,,,,,,,,,,,,,,,,,,,,
1969.0,,,,,,,,,,,,,,,,,,,,,,
1970.0,,,,,,,,,,,,,,,,,,,,,,
1971.0,,,,,,,,,,,,,,,,,,,,,,
1972.0,,,,,,,,,,,,,,,,,,,,,,
1973.0,,,,,,,,,,,,,,,,,,,,,,
1974.0,,,,,,,,,,,,,,,,,,,,,,
1975.0,,,,,,,,,,,,,,,,,,,,,,
1976.0,,,,,,,,,,,,,,,,,,,,,,
1977.0,,,,,,,,,,,,,,,,,,,,,,
1978.0,,,,,,,,,,,,,,,,,,,,,,
1979.0,,,,,,,,,,,,,,,,,,,,,,
1980.0,,,,,,,,,,,,,,,,,,,,,,
1981.0,,,,,,,,,,,,,,,,,,,,,,
1982.0,,,,,,,,,,,,,,,,,,,,,,
1983.0,,,,,,,,,,,,,,,,,,,,,,
1984.0,,,,,,,,,,,,,,,,,,,,,,
1985.0,,,,,,,,,,,,,,,,,,,,,,
1986.0,,,,,,,,,,,,,,,,,,,,,,
1987.0,,,,,,,,,,,,,,,,,,,,,,
1988.0,,,,,,,,,,,,,,,,,,,,,,
1989.0,,,,,,,,,,,,,,,,,,,,,,
1990.0,,,,,,,,,,,,,,,,,,,,,,
1991.0,70.9530029296875,43.7000007629395,38.242000579834,70.71299743652341,29.225999832153303,65.447998046875,18.7070007324219,19.1200008392334,39.858001708984396,71.7409973144531,53.2299995422363,50.5929985046387,66.75399780273439,55.0900001525879,54.6049995422363,38.0069999694824,32.5660018920898,36.6720008850098,28.030931135942,19.927033362751,62.95184940055061,34.5481369437425
1992.0,71.3779983520508,45.9109992980957,40.04600143432621,71.1460037231445,29.3390007019043,65.9619979858398,19.537000656127898,19.784000396728498,40.10499954223629,72.0009994506836,53.451000213623,51.05400085449221,67.2440032958984,55.369998931884794,56.819000244140604,37.736000061035206,33.1100006103516,38.5979995727539,28.4875754275662,19.4977806236836,63.4531067137162,34.8363221476465
1993.0,71.7080001831055,50.75,41.9480018615723,71.09100341796879,28.9589996337891,65.7360000610352,20.7409992218018,20.4009990692139,40.3540000915527,72.2239990234375,56.1619987487793,51.512001037597706,69.82900238037111,55.611000061035206,56.2210006713867,38.3040008544922,33.319000244140604,40.298999786377,29.3372545718283,19.309506233881198,64.1695308366686,35.4942497012682
1994.0,71.6999969482422,53.351001739502,44.012001037597706,71.4520034790039,29.263000488281303,64.370002746582,22.000999450683604,21.0149993896484,40.543998718261705,72.0960006713867,57.042999267578104,53.2169990539551,70.9509963989258,55.7760009765625,58.917999267578104,39.10499954223629,33.4749984741211,41.666999816894496,30.076798879679398,19.1711801172323,64.7420784608322,36.0975310809452
1995.0,71.4860000610352,55.5900001525879,45.3660011291504,72.1989974975586,28.9710006713867,64.9850006103516,23.238000869751,21.499000549316396,40.7249984741211,72.2239990234375,56.5919990539551,54.765998840332,72.286003112793,56.16999816894529,58.2369995117188,38.263999938964794,33.7179985046387,43.6160011291504,30.951739785261,19.3548281926677,65.0842603813485,36.809938415252795
1996.0,71.5899963378906,56.6259994506836,46.2350006103516,72.5380020141602,29.0799999237061,66.2180023193359,24.306999206543,21.719999313354503,40.9029998779297,72.443000793457,57.020999908447294,55.2890014648438,74.234001159668,57.125,57.995998382568395,38.3370018005371,33.733001708984396,45.4809989929199,31.671590734913398,19.584262068786,65.6232568041834,37.4148610138978
1997.0,71.4540023803711,56.870998382568395,47.2760009765625,72.754997253418,29.267999649047898,67.31500244140629,24.8939990997314,22.0400009155273,41.074001312255895,72.71099853515629,60.0960006713867,54.023998260498,73.6439971923828,57.3339996337891,58.2859992980957,38.778999328613295,34.001998901367195,47.236000061035206,32.3027303692005,19.6228214879899,66.0788828650319,37.9497001612886
1998.0,72.4570007324219,57.74800109863279,48.273998260498,73.3270034790039,29.794000625610398,67.2239990234375,25.233999252319304,23.652000427246104,41.254001617431605,72.91200256347659,60.729000091552706,55.762001037597706,74.33799743652341,58.0719985961914,60.034000396728494,39.9749984741211,34.2750015258789,50.2890014648438,32.6831393942343,19.774780164028698,66.6027898487288,38.2988328143032
1999.0,73.1429977416992,59.7849998474121,49.273998260498,73.713996887207,29.8780002593994,67.48000335693361,25.3560009002686,23.0219993591309,38.298000335693395,73.1699981689453,61.4210014343262,54.119998931884794,75.5790023803711,58.323001861572294,62.145999908447294,40.030998229980504,34.6920013427734,53.55400085449221,32.8233787423287,19.9018681491009,67.2024230461349,38.487228958555704
2000.0,73.9229965209961,58.6450004577637,50.2700004577637,73.5270004272461,29.7859992980957,67.9690017700195,25.6800003051758,22.3080005645752,38.0229988098145,73.95899963378909,62.15299987792971,55.5289993286133,76.5469970703125,58.699001312255895,62.16999816894529,39.5719985961914,34.963001251220696,56.4099998474121,33.0198480149078,20.037310122367803,67.82138884617889,38.7264541003861
2001.0,74.1630020141602,59.9020004272461,50.074001312255895,74.50599670410159,30.104000091552702,67.9889984130859,25.9659996032715,22.1100006103516,37.930000305175795,74.7519989013672,62.084999084472706,56.4620018005371,77.1500015258789,59.08000183105471,62.476001739502,40.4620018005371,35.279998779296896,55.9370002746582,33.51117568867561,20.0297791294887,68.4282133861639,39.1524242073817
2002.0,74.375,63.603000640869105,51.8330001831055,74.7030029296875,29.9099998474121,68.43499755859379,26.250999450683604,23.260000228881804,38.0099983215332,75.71299743652341,62.5629997253418,57.617000579834006,78.7959976196289,58.542999267578104,62.6399993896484,39.638999938964794,35.5009994506836,55.582000732421896,33.8613431812234,20.4032529614173,69.19392817229979,39.5096367680363
2003.0,74.5019989013672,63.064998626709006,53.255001068115206,75.2040023803711,30.4370002746582,69.4120025634766,26.989000320434602,23.912000656127898,36.7480010986328,76.0490036010742,62.1619987487793,58.744998931884794,76.8089981079102,58.9169998168945,63.004001617431605,40.263999938964794,35.9290008544922,55.431999206543,34.3545385603897,20.7137133349696,69.71535077365711,39.9340769184264
2004.0,75.6259994506836,60.984001159668,53.3549995422363,75.0220031738281,30.5869998931885,69.5849990844727,28.412000656127898,24.752000808715803,37.1619987487793,76.161003112793,63.255001068115206,59.242000579834006,75.8109970092773,58.3250007629395,63.040000915527294,42.6529998779297,34.6980018615723,55.201000213623,35.2882044884019,20.9261379879768,70.2101501108181,40.6737616928555
2005.0,75.8470001220703,60.731998443603494,53.37300109863279,75.286003112793,30.926000595092802,70.6529998779297,29.7919998168945,26.412000656127898,36.367000579834,76.3059997558594,64.120002746582,59.1450004577637,75.4599990844727,58.4990005493164,63.8899993896484,43.3639984130859,35.0110015869141,55.2179985046387,35.973872241037895,21.2211046340785,70.65542157994209,41.2714385034704
2006.0,75.9250030517578,61.3950004577637,54.229000091552706,75.125,31.367000579834,70.2730026245117,31.250999450683604,28.1469993591309,35.6459999084473,76.2600021362305,63.965999603271506,59.556999206543,75.2760009765625,59.5359992980957,63.8639984130859,44.715999603271506,36.293998718261705,54.9900016784668,36.940722769006705,21.678734439522902,70.8100532031914,42.0535163432295
