,Norway,Estonia,Poland,Australia,Vanuatu,New Zealand,China,Vietnam,Georgia,United States,Jamaica,Mexico,Argentina,Brazil,Chile,Nigeria,Morocco,Namibia,Middle income,Low income,High income,World
1960.0,,,,,,,,,,,,,,,,,,,,,,
1961.0,,,,,,,,,,,,,,,,,,,,,,
1962.0,,,,,,,,,,,,,,,,,,,,,,
1963.0,,,,,,,,,,,,,,,,,,,,,,
1964.0,,,,,,,,,,,,,,,,,,,,,,
1965.0,,,,,,,,,,,,,,,,,,,,,,
1966.0,,,,,,,,,,,,,,,,,,,,,,
1967.0,,,,,,,,,,,,,,,,,,,,,,
1968.0,,,,,,,,,,,,,,,,,,,,,,
1969.0,,,,,,,,,,,,,,,,,,,,,,
1970.0,,,,,,,,,,,,,,,,,,,,,,
1971.0,,,,,,,,,,,,,,,,,,,,,,
1972.0,,,,,,,,,,,,,,,,,,,,,,
1973.0,,,,,,,,,,,,,,,,,,,,,,
1974.0,,,,,,,,,,,,,,,,,,,,,,
1975.0,,,,,,,,,,,,,,,,,,,,,,
1976.0,,,,,,,,,,,,,,,,,,,,,,
1977.0,,,,,,,,,,,,,,,,,,,,,,
1978.0,,,,,,,,,,,,,,,,,,,,,,
1979.0,,,,,,,,,,,,,,,,,,,,,,
1980.0,,,,,,,,,,,,,,,,,,,,,,
1981.0,,,,,,,,,,,,,,,,,,,,,,
1982.0,,,,,,,,,,,,,,,,,,,,,,
1983.0,,,,,,,,,,,,,,,,,,,,,,
1984.0,,,,,,,,,,,,,,,,,,,,,,
1985.0,,,,,,,,,,,,,,,,,,,,,,
1986.0,,,,,,,,,,,,,,,,,,,,,,
1987.0,,,,,,,,,,,,,,,,,,,,,,
1988.0,,,,,,,,,,,,,,,,,,,,,,
1989.0,,,,,,,,,,,,,,,,,,,,,,
1990.0,121320.0,22060.0,88810.0,1285410.0,4400.0,96580.0,1571405.9375,93630.0,27520.0,3024500.0,3446.00006103516,697600.0,347930.0,5467050.0,152630.0,172340.0,49540.0,87620.0,26990298.0332518,3774850.0,9968629.10232618,41282694.9
1991.0,121300.99609375,22060.0,88987.998046875,1285710.0,4400.0,97060.99609375,1591265.9375,95994.00390625,27520.0,3025585.9375,3442.30010986328,695696.015625,344996.9921875,5441618.75,153200.99609375,168243.0078125,49578.9990234375,86890.0,26929689.5978403,3756708.53478394,9977649.885390699,41210027.5
1992.0,121282.001953125,22133.9990234375,89165.99609375,1286010.0,4400.0,97542.001953125,1611125.78125,98357.998046875,27539.599609375,3026671.875,3438.59985351563,693792.03125,342063.984375,5416188.125,153772.001953125,164145.99609375,49617.998046875,86160.0,26869617.7665758,3737812.04704285,9987192.88623676,41137360.5
1993.0,121262.998046875,22171.0009765625,89344.00390625,1286310.0,4400.0,98022.998046875,1630985.625,100722.001953125,27547.900390625,3027758.125,3434.89990234375,691887.96875,339131.015625,5390756.875,154342.998046875,160049.00390625,49657.001953125,85430.0,26809279.177842103,3866070.95100403,9996497.12114438,41064693.4
1994.0,121244.00390625,22208.000488281297,89522.001953125,1286610.0,4400.0,98504.00390625,1650845.625,103085.99609375,27556.201171875,3028844.0625,3431.19995117188,689983.984375,336198.0078125,5365326.25,154914.00390625,155952.001953125,49696.0009765625,84700.0,26748940.793767,3846098.06900024,10005787.1136178,40992025.9
1995.0,121225.0,22245.0,89700.0,1286910.0,4400.0,98985.0,1670705.46875,105450.0,27564.499511718797,3029930.0,3427.5,688080.0,333265.0,5339895.0,155485.0,151855.0,49735.0,83970.0,26688602.1260309,3826125.0,10015077.1966566,40919358.7
1996.0,121205.99609375,22281.999511718797,89877.998046875,1287210.0,4400.0,99465.99609375,1690565.46875,107814.00390625,27572.800292968797,3031015.9375,3423.80004882813,686176.015625,330331.9921875,5314463.75,156055.99609375,147757.998046875,49773.9990234375,83240.0,26628263.7475061,3806151.93099976,10024367.0828645,40846691.3
1997.0,121187.001953125,22318.9990234375,90055.99609375,1287510.0,4400.0,99947.001953125,1710425.3125,110177.998046875,27581.101074218797,3032101.875,3420.10009765625,684272.03125,327399.00390625,5289033.125,156627.001953125,143660.99609375,49812.998046875,82510.0,26567925.976910602,3786179.04914856,10033657.2828786,40774024.2
1998.0,121167.998046875,22356.0009765625,90234.00390625,1287810.0,4400.0,100427.998046875,1730285.15625,112542.001953125,27589.3994140625,3033188.125,3416.40014648438,682367.96875,324465.99609375,5263601.875,157197.998046875,139564.00390625,49852.001953125,81780.0,26507586.4768839,3766205.95085144,10042947.317940699,40701356.7
1999.0,121149.00390625,22393.000488281297,90412.001953125,1288110.0,4400.0,100909.00390625,1750145.15625,114905.99609375,27597.7001953125,3034274.0625,3412.69989013672,680463.984375,321533.0078125,5238170.9375,157769.00390625,135467.001953125,49891.0009765625,81050.0,26447248.671326604,3746233.06381226,10052237.5038813,40628689.7
2000.0,121130.0,22430.0,90590.0,1288410.0,4400.0,101390.0,1770005.0,117270.0,27606.0009765625,3035360.0,3408.99993896484,678560.0,318600.0,5212740.0,158340.0,131370.0,49930.0,80320.0,26386910.4182482,3726260.0,10061527.4940227,40556022.3
2001.0,121087.998046875,22448.000488281297,90872.001953125,1286010.0,4400.0,101477.998046875,1802091.875,119970.0,27629.7998046875,3037801.875,3405.59997558594,677013.984375,315251.9921875,5183660.0,158755.99609375,127274.00390625,50746.0009765625,79577.998046875,26357680.985570002,3707757.93655396,10065287.806150801,40510303.3
2002.0,121045.99609375,22466.0009765625,91154.00390625,1283610.0,4400.0,101565.99609375,1834178.59375,122670.0,27653.601074218797,3040244.0625,3402.20001220703,675467.96875,311904.00390625,5154580.0,159172.001953125,123177.998046875,51562.001953125,78836.0009765625,26328451.721777897,3689256.01951599,10069047.780056098,40464584.1
2003.0,121004.00390625,22483.9990234375,91435.99609375,1281210.0,4400.0,101654.00390625,1866265.46875,125370.0,27677.399902343797,3042685.9375,3398.80004882813,673922.03125,308555.99609375,5125500.0,159587.998046875,119082.001953125,52377.998046875,78093.9990234375,26299221.9724417,3670753.98048401,10072808.0135848,40418865.2
2004.0,120962.001953125,22501.999511718797,91717.998046875,1278810.0,4400.0,101742.001953125,1898352.1875,128070.0,27701.201171875,3045128.125,3395.40008544922,672376.015625,305208.0078125,5096420.0,160004.00390625,114985.99609375,53193.9990234375,77352.001953125,26269992.6964617,3652252.06344604,10076568.106217802,40373146.0
2005.0,120920.0,22520.0,92000.0,1276410.0,4400.0,101830.0,1930439.0625,130770.0,27725.0,3047570.0,3392.00012207031,670830.0,301860.0,5067340.0,160420.0,110890.0,54010.0,76610.0,26240763.372426,3633750.0,10080328.2994084,40327427.0
2006.0,120940.0,22483.9990234375,92257.998046875,1267550.0,4400.0,101765.99609375,1945571.875,132872.001953125,27824.7998046875,3055495.9375,3387.79998779297,669660.0,298680.0,5050788.125,160797.998046875,106794.00390625,54552.001953125,75867.998046875,26223960.5327082,3614429.95803833,10084115.383380199,40293287.6
2007.0,120960.0,22448.000488281297,92515.99609375,1258690.0,4400.0,101702.001953125,1960704.53125,134974.00390625,27924.599609375,3063421.875,3383.59985351563,668490.0,295500.0,5034235.9375,161175.99609375,102697.998046875,55093.9990234375,75126.0009765625,26207157.1360254,3595110.03074646,10087902.5392015,40259147.7
2008.0,120980.0,22411.999511718797,92774.00390625,1249830.0,4400.0,101637.998046875,1975837.34375,137075.99609375,28024.3994140625,3071348.125,3379.40002441406,667320.0,292320.0,5017684.0625,161554.00390625,98602.001953125,55636.0009765625,74383.9990234375,26190354.4101954,3575789.96925354,10091690.0716101,40225008.7
