,Norway,Estonia,Poland,Australia,Vanuatu,New Zealand,China,Vietnam,Georgia,United States,Jamaica,Mexico,Argentina,Brazil,Chile,Nigeria,Morocco,Namibia,Middle income,Low income,High income,World
1960.0,,,,,,,,,,,,,,,,,,,,,,
1961.0,,,,,,,,,,,,,,,,,,,,,,
1962.0,,,,,,,,,,,,,,,,,,,,,,
1963.0,,,,,,,,,,,,,,,,,,,,,,
1964.0,,,,,,,,,,,,,,,,,,,,,,
1965.0,,,,,,,,,,,,,,,,,,,,,,
1966.0,,,,,,,,,,,,,,,,,,,,,,
1967.0,,,,,,,,,,,,,,,,,,,,,,
1968.0,,,,,,,,,,,,,,,,,,,,,,
1969.0,,,,,,,,,,,,,,,,,,,,,,
1970.0,,,,,,,,,,,,,,,,,,,,,,
1971.0,,,,,,,,,,,,,,,,,,,,,,
1972.0,,,,,,,,,,,,,,,,,,,,,,
1973.0,,,,,,,,,,,,,,,,,,,,,,
1974.0,,,,,,,,,,,,,,,,,,,,,,
1975.0,,,,,,,,,,,,,,,,,,,,,,
1976.0,,,,,,,,,,,,,,,,,,,,,,
1977.0,,,,,,,,,,,,,,,,,,,,,,
1978.0,,,,,,,,,,,,,,,,,,,,,,
1979.0,,,,,,,,,,,,,,,,,,,,,,
1980.0,,,,,,,,,,,,,,,,,,,,,,
1981.0,,,,,,,,,,,,,,,,,,,,,,
1982.0,,,,,,,,,,,,,,,,,,,,,,
1983.0,,,,,,,,,,,,,,,,,,,,,,
1984.0,,,,,,,,,,,,,,,,,,,,,,
1985.0,,,,,,,,,,,,,,,,,,,,,,
1986.0,,,,,,,,,,,,,,,,,,,,,,
1987.0,,,,,,,,,,,,,,,,,,,,,,
1988.0,,,,,,,,,,,,,,,,,,,,,,
1989.0,,,,,,,,,,,,,,,,,,,,,,
1990.0,,,,,,,,,,,,,,,,,,,,,,
1991.0,,,,,,,,,,,,,,,,,,,,,,
1992.0,,,,,,,,,,,,,,,,,,,,,,
1993.0,,,,,,,,,,,,,,,,,,,,,,
1994.0,,,,,,,,,,,,,,,,,,,,,,
1995.0,,,,,,,,,,,,,,,,,,,,,,
1996.0,,,,,,,,,,,,,,,,,,,,,,
1997.0,,,,,,,,,,,,,,,,,,,,,,
1998.0,,,,,,,,,,,,,,,,,,,,,,
1999.0,,,,,,,,,,,,,,,,,,,,,,
2000.0,,,,,,,,,,,,,,,,,,,,,,
2001.0,,,,,,,,,,,,,,,,,,,,,,
2002.0,,,,,,,,,,,,,,,,,,,,,,
2003.0,,,,,,,,,,,,,,,,,,,,,,
2004.0,,,,,,,,,,,,,,,,,,,,,,
2005.0,,,,,,,,,,,,,,,,,,,,,,
2006.0,,,,,,,,,,,,,,,,,,,,,,
2007.0,3.81,2.95,3.04,3.79,,3.75,3.32,2.89,,3.84,2.25,2.87,2.98,2.75,3.25,2.4,2.38,2.16,2.4935064935064903,2.1881481481481497,3.47695652173913,2.74013333333333
2008.0,,,,,,,,,,,,,,,,,,,,,,
2009.0,,,,,,,,,,,,,,,,,,,,,,
2010.0,3.93,3.16,3.44,3.84,,3.65,3.49,2.96,2.61,3.86,2.53,3.05,3.1,3.2,3.09,2.59,,2.02,2.642375,2.37307692307692,3.4930612244897996,2.86612903225807
2011.0,,,,,,,,,,,,,,,,,,,,,,
2012.0,3.68,2.86,3.43,3.73,,3.42,3.52,3.0,2.77,3.93,2.42,3.06,3.05,3.13,3.17,2.45,3.03,2.65,2.6542682926829304,2.3875,3.48145833333333,2.87051948051948
2013.0,,,,,,,,,,,,,,,,,,,,,,
2014.0,3.958243,3.3459199999999996,3.4938290000000003,3.810776,,3.6438919999999997,3.5314629999999996,3.154763,2.507491,3.917825,2.842494,3.128319,2.986475,2.9439509999999998,3.255786,2.8087779999999998,,2.657883,2.6844072976190496,2.37763992592593,3.53873826530612,2.8942791625
2015.0,,,,,,,,,,,,,,,,,,,,,,
2016.0,3.732163,3.363489,3.425877,3.793385,,3.388,3.661104,2.976629,2.3530130000000002,3.992172,2.400214,3.114031,2.962629,3.087984,3.248442,2.6280900000000003,2.665994,2.744745,2.61680763095238,2.3560024,3.58204321568627,2.88372565625
2017.0,,,,,,,,,,,,,,,,,,,,,,
2018.0,,,,,,,,,,,,,,,,,,,,,,
2019.0,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
