,Norway,Estonia,Poland,Australia,Vanuatu,New Zealand,China,Vietnam,Georgia,United States,Jamaica,Mexico,Argentina,Brazil,Chile,Nigeria,Morocco,Namibia,Middle income,Low income,High income,World
1960.0,578044.0,296285.0,1119181.0,2134673.0,,440164.0,6865312.0,1400000.0,717766.0,14163521.0,420603.0,5479184.0,6761837.0,4493182.0,1979927.0,762418.0,966796.0,35654.0,,,,
1961.0,585230.0,303183.0,1145117.0,2183523.0,,452080.0,6752117.0,1448551.0,734021.0,14360388.0,425748.0,5748913.0,6919245.0,4681086.0,2047034.0,840287.0,1010489.0,37724.0,,,,
1962.0,591398.0,310252.0,1161377.0,2233459.0,,470862.0,6640636.0,1498856.0,750667.0,14560269.0,430962.0,6032320.0,7071464.0,4878624.0,2106056.0,926233.0,1056222.0,39882.0,,,,
1963.0,597630.0,317485.0,1177868.0,2284537.0,,490424.0,6530995.0,1550908.0,767690.0,14762931.0,436241.0,6329698.0,7227032.0,5084497.0,2166780.0,1020969.0,1104024.0,42163.0,,,,
1964.0,603937.0,324897.0,1194617.0,2336856.0,,510827.0,6423017.0,1604843.0,785124.0,14968700.0,441591.0,6642176.0,7386244.0,5299360.0,2229343.0,1086830.0,1154061.0,44579.0,,,,
1965.0,610293.0,332461.0,1211556.0,2390224.0,,532019.0,6428131.0,1660497.0,802904.0,15176758.0,446992.0,6969157.0,7548511.0,5522674.0,2293532.0,1135439.0,1206217.0,47125.0,,,,
1966.0,616725.0,340212.0,1228760.0,2445016.0,,553163.0,6387638.0,1718163.0,821112.0,15388002.0,452467.0,7312719.0,7714574.0,5865661.0,2359661.0,1186292.0,1260808.0,49821.0,,,,
1967.0,623224.0,348144.0,1246208.0,2549933.0,,572549.0,6302144.0,1777831.0,839733.0,15602185.0,458009.0,7673217.0,7884290.0,6262294.0,2427698.0,1239424.0,1317870.0,52670.0,,,,
1968.0,629802.0,356272.0,1263928.0,2659506.0,,592643.0,6217680.0,1839658.0,858803.0,15819651.0,463626.0,8052021.0,8057981.0,6686349.0,2497794.0,1295014.0,1377598.0,55688.0,,,,
1969.0,636430.0,364567.0,1281850.0,2773466.0,,613383.0,6134575.0,1903455.0,878251.0,16039538.0,469297.0,8448405.0,8235005.0,7137833.0,2569712.0,1352933.0,1439857.0,58868.0,,,,
1970.0,643137.0,372344.0,1300052.0,2892477.0,,634880.0,6052468.0,1969558.0,897244.0,16191180.0,474627.0,8830947.0,8416170.0,7620490.0,2646661.0,1413528.0,1505022.0,62079.0,,,,
1971.0,645250.0,379413.0,1324116.0,3016037.0,,655680.0,5971461.0,2037957.0,915529.0,16128515.0,478627.0,9182417.0,8566128.0,8004335.0,2738346.0,1476837.0,1573136.0,64557.0,,,,
1972.0,645003.0,386627.0,1353138.0,3041223.0,,673232.0,5891428.0,2108830.0,934213.0,16066007.0,482666.0,9548389.0,8707088.0,8380068.0,2833339.0,1570870.0,1626173.0,67137.0,,,,
1973.0,644757.0,393958.0,1382714.0,3066549.0,,691204.0,5812684.0,2181962.0,953226.0,16003912.0,486728.0,9927879.0,8849971.0,8772332.0,2931353.0,1670607.0,1679820.0,69813.0,,,,
1974.0,644511.0,401438.0,1412978.0,3092121.0,,709682.0,5734886.0,2257737.0,972652.0,15941972.0,490830.0,10323007.0,8995400.0,9183536.0,3032899.0,1776828.0,1735313.0,72600.0,,,,
1975.0,644265.0,409060.0,1443904.0,3117906.0,,728654.0,5658129.0,2336143.0,992474.0,15880271.0,494967.0,10733860.0,9143219.0,9614016.0,3137963.0,1889802.0,1792640.0,75498.0,,,,
1976.0,644019.0,416837.0,1475552.0,3143945.0,,744730.0,5582296.0,2417386.0,1012728.0,15818725.0,499144.0,11161666.0,9293676.0,10065309.0,3246819.0,2010130.0,1851944.0,78515.0,,,,
1977.0,643774.0,424741.0,1507803.0,3170608.0,,751878.0,5507683.0,2501219.0,1033338.0,15757586.0,503345.0,11605274.0,9446184.0,10536457.0,3359136.0,2137756.0,1913038.0,81645.0,,,,
1978.0,643528.0,432805.0,1540805.0,3197534.0,,759105.0,5558902.0,2588081.0,1054397.0,15696599.0,507587.0,12067162.0,9601411.0,11030355.0,3475502.0,2273679.0,1976236.0,84904.0,,,,
1979.0,643282.0,439555.0,1558887.0,3224688.0,,766402.0,5740309.0,2677959.0,1073531.0,15635849.0,511865.0,12547433.0,9759188.0,11547405.0,3595899.0,2418243.0,2041522.0,88293.0,,,,
1980.0,643036.0,444615.0,1565082.0,3252111.0,,773779.0,5927898.0,2716087.0,1090199.0,15601401.0,516184.0,13027620.0,9919781.0,12089454.0,3720640.0,2572218.0,2109059.0,91822.0,,,,
1981.0,645690.0,449720.0,1571284.0,3279743.0,,781206.0,6121076.0,2736454.0,1107079.0,15646170.0,520529.0,13268385.0,10049398.0,12383528.0,3849349.0,2735532.0,2178635.0,95482.0,,,,
1982.0,649841.0,454890.0,1577520.0,3317267.0,,788715.0,6320829.0,2757003.0,1124245.0,15691130.0,524921.0,13513942.0,10165869.0,12628957.0,3970906.0,2909463.0,2250607.0,99529.0,,,,
1983.0,654019.0,460120.0,1583780.0,3355221.0,,796296.0,6569409.0,2777705.0,1141676.0,15736220.0,529439.0,13764043.0,10283689.0,12879250.0,4046324.0,3094452.0,2304309.0,103793.0,,,,
1984.0,658230.0,465418.0,1590074.0,3393661.0,,803961.0,6828127.0,2798592.0,1159403.0,15781501.0,534001.0,14019126.0,10403040.0,13134858.0,4123282.0,3291482.0,2354891.0,108245.0,,,,
1985.0,662456.0,470761.0,1596375.0,3432435.0,,811678.0,7096280.0,2819578.0,1177355.0,15826788.0,538591.0,14278216.0,10523442.0,13394815.0,4201485.0,3500464.0,2406440.0,112875.0,,,,
1986.0,666715.0,476173.0,1602710.0,3471704.0,,820790.0,7375356.0,2840750.0,1195610.0,15872267.0,543226.0,14542461.0,10645407.0,13660287.0,4281283.0,3723030.0,2459191.0,117710.0,,,,
1987.0,671002.0,481648.0,1609071.0,3511087.0,,832749.0,7665406.0,2862081.0,1214148.0,15917876.0,547901.0,14811597.0,10768785.0,13931020.0,4362596.0,3959747.0,2513098.0,122752.0,,,,
1988.0,675322.0,487193.0,1615465.0,3550973.0,,844899.0,7967288.0,2883603.0,1232999.0,15963680.0,552622.0,15086094.0,10893766.0,14207502.0,4445568.0,4211873.0,2568264.0,128018.0,,,,
1989.0,679657.0,485756.0,1621867.0,3591200.0,,857192.0,8280178.0,2927031.0,1236979.0,16009490.0,557372.0,15364903.0,11019848.0,14488689.0,4529884.0,4479291.0,2624483.0,133494.0,,,,
1990.0,684027.0,476411.0,1628303.0,3631940.0,,869681.0,8605812.0,3037805.0,1223833.0,16085599.0,562168.0,15642318.0,11147566.0,14775840.0,4615919.0,4764093.0,2682014.0,139212.0,,,,
1991.0,691539.0,467247.0,1634765.0,3673110.0,,887073.0,9050404.0,3152771.0,1210826.0,16253492.0,566169.0,15908157.0,11276696.0,15068681.0,4703587.0,5067003.0,2740805.0,145175.0,,,,
1992.0,700790.0,458246.0,1641262.0,3709165.0,,915015.0,9518933.0,3272256.0,1197940.0,16423372.0,567430.0,16178890.0,11407033.0,15288036.0,4794775.0,5318226.0,2800969.0,152242.0,,,,
1993.0,710140.0,449443.0,1645947.0,3745472.0,,943756.0,10010327.0,3395922.0,1185226.0,16594553.0,568690.0,16453467.0,11538512.0,15493544.0,4894926.0,5530879.0,2862283.0,160020.0,,,,
1994.0,719628.0,440797.0,1648822.0,3782186.0,,973442.0,10527819.0,3524441.0,1172630.0,16767758.0,569955.0,16733092.0,11671691.0,15702105.0,4997312.0,5752346.0,2925026.0,168208.0,,,,
1995.0,729242.0,432318.0,1651702.0,3819260.0,,1004061.0,11072063.0,3657824.0,1160168.0,16942770.0,571222.0,17017469.0,11806407.0,15913473.0,5101840.0,5982680.0,2963372.0,176814.0,,,,
1996.0,738998.0,423990.0,1654592.0,3856593.0,,1035649.0,11645251.0,3796450.0,1147821.0,17119854.0,572494.0,17307081.0,11942867.0,16127983.0,5208702.0,6222575.0,2996850.0,185874.0,,,,
1997.0,748858.0,417567.0,1657478.0,3837252.0,,1053801.0,12246411.0,3939926.0,1135639.0,17298295.0,573766.0,17600805.0,12080522.0,16344782.0,5317500.0,6471389.0,3030611.0,195371.0,,,,
1998.0,758863.0,411233.0,1660373.0,3817981.0,,1072297.0,12879499.0,4089033.0,1123569.0,17478845.0,575042.0,17899928.0,12219957.0,16564802.0,5428725.0,6730516.0,3064801.0,205367.0,,,,
1999.0,767207.0,404995.0,1663274.0,3798807.0,,1091117.0,13545316.0,4240851.0,1111629.0,17661279.0,576321.0,18204136.0,12361001.0,16787782.0,5542276.0,7000018.0,3099376.0,215875.0,,,,
2000.0,773811.0,400224.0,1666183.0,3779704.0,,1110294.0,14246541.0,4389369.0,1099798.0,17813371.0,577604.0,18457027.0,12503871.0,17014078.0,5658363.0,7280706.0,3134389.0,226935.0,,,,
2001.0,780454.0,399611.0,1669090.0,3760877.0,,1129774.0,14829537.0,4542659.0,1088126.0,17867738.0,578887.0,18617824.0,12647992.0,17260029.0,5776553.0,7571830.0,3169700.0,236672.0,,,,
2002.0,788367.0,398998.0,1672106.0,3789046.0,,1157047.0,15357256.0,4701524.0,1081561.0,17922346.0,579610.0,18780246.0,12808282.0,17511506.0,5883580.0,7875021.0,3205459.0,244240.0,,,,
2003.0,797599.0,398386.0,1675899.0,3817426.0,,1184978.0,15903755.0,4865945.0,1081297.0,17977121.0,580198.0,18944086.0,12979730.0,17766646.0,5930470.0,8190352.0,3241620.0,252051.0,,,,
2004.0,806951.0,397774.0,1679705.0,3846058.0,,1213624.0,16470495.0,5036354.0,1081032.0,18032139.0,580787.0,19109583.0,13153713.0,18025864.0,5977798.0,8518770.0,3278241.0,260123.0,,,,
2005.0,818478.0,397165.0,1683510.0,3874825.0,,1242880.0,17055788.0,5212238.0,1080767.0,18087174.0,581375.0,19276065.0,13329540.0,18288134.0,6025373.0,8859399.0,3307188.0,268429.0,,,,
2006.0,832344.0,396556.0,1687328.0,3903942.0,,1272842.0,17662731.0,5394520.0,1080503.0,18142453.0,581965.0,19444230.0,13507965.0,18554591.0,6073393.0,9194896.0,3334722.0,277014.0,,,,
2007.0,847482.0,395948.0,1691156.0,3967807.0,,1288150.0,18291272.0,5583176.0,1080238.0,18197900.0,582555.0,19613862.0,13688779.0,18824929.0,6121796.0,9491778.0,3362485.0,285872.0,,,,
2008.0,863994.0,395340.0,1694997.0,4032807.0,,1303663.0,18943092.0,5778704.0,1079974.0,18253594.0,583147.0,19785210.0,13872267.0,19099587.0,6170651.0,9798673.0,3390518.0,295027.0,,,,
2009.0,880780.0,394734.0,1698836.0,4098688.0,,1319320.0,19616251.0,5980513.0,1079710.0,18309304.0,583738.0,19957578.0,14057699.0,19377480.0,6219761.0,10114606.0,3418707.0,304449.0,,,,
2010.0,897916.0,394129.0,1702689.0,4165739.0,,1335187.0,20314309.0,6189370.0,1079445.0,18365262.0,584330.0,20136681.0,14245871.0,19659808.0,6269330.0,10441182.0,3447169.0,314185.0,,,,
2011.0,913306.0,393525.0,1706551.0,4233904.0,,1351275.0,20947904.0,6405520.0,1079181.0,18421391.0,584922.0,20371749.0,14364449.0,19901875.0,6319294.0,10778303.0,3475869.0,324232.0,,,,
2012.0,926833.0,396431.0,1712984.0,4309560.0,,1378916.0,21555451.0,6629220.0,1078917.0,18477769.0,585515.0,20609889.0,14449088.0,20143093.0,6369726.0,11126796.0,3504847.0,334615.0,,,,
2013.0,940522.0,402920.0,1721992.0,4386354.0,,1407043.0,22178874.0,6860731.0,1078653.0,18534163.0,586108.0,20850148.0,14533991.0,20386559.0,6420420.0,11485551.0,3533986.0,345330.0,,,,
2014.0,954433.0,409523.0,1731060.0,4464625.0,,1435785.0,22821226.0,7100328.0,1078389.0,18590808.0,586702.0,21093544.0,14619510.0,20633309.0,6471588.0,11856391.0,3563408.0,356389.0,,,,
2015.0,968549.0,416235.0,1740175.0,4544293.0,,1465113.0,23482181.0,7348291.0,1078125.0,18647626.0,587296.0,21339781.0,14705533.0,20883046.0,6523164.0,12239206.0,3593075.0,367802.0,,,,
2016.0,982894.0,423066.0,1749352.0,4625496.0,,1495083.0,24163230.0,7604915.0,1077861.0,18704696.0,587891.0,21419976.0,14792181.0,21136155.0,6575151.0,12634381.0,3622989.0,379580.0,,,,
2017.0,997451.0,429990.0,1758551.0,4708150.0,,1525666.0,24862075.0,7870501.0,1077597.0,18761941.0,588487.0,21500251.0,14879100.0,21391624.0,6627552.0,13042316.0,3653152.0,391736.0,,,,
2018.0,1012225.0,437027.0,1767798.0,4792281.0,,1556875.0,25582138.0,8145361.0,1077333.0,18819361.0,589083.0,21580827.0,14966530.0,21650181.0,6680371.0,13463421.0,3683566.0,404280.0,,,,
2019.0,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
