,Norway,Estonia,Poland,Australia,Vanuatu,New Zealand,China,Vietnam,Georgia,United States,Jamaica,Mexico,Argentina,Brazil,Chile,Nigeria,Morocco,Namibia,Middle income,Low income,High income,World
1960.0,,,,,,,,,,,,,,,,,,,,,,
1961.0,,,,,,,,,,,,,,,,,,,,,,
1962.0,,,,,,,,,,,,,,,,,,,,,,
1963.0,,,,,,,,,,,,,,,,,,,,,,
1964.0,,,,,,,,,,,,,,,,,,,,,,
1965.0,,,,,,,,,,,,,,,,,,,,,,
1966.0,,,,,,,,,,,,,,,,,,,,,,
1967.0,,,,,,,,,,,,,,,,,,,,,,
1968.0,,,,,,,,,,,,,,,,,,,,,,
1969.0,,,,,,,,,,,,,,,,,,,,,,
1970.0,,,,,,,,,,,,,,,,,,,,,,
1971.0,,,,,,,,,,,,,,,,,,,,,,
1972.0,,,,,,,,,,,,,,,,,,,,,,
1973.0,,,,,,,,,,,,,,,,,,,,,,
1974.0,,,,,,,,,,,,,,,,,,,,,,
1975.0,,,,,,,,,,,,,,,,,,,,,,
1976.0,,,,,,,,,,,,,,,,,,,,,,
1977.0,,,,,,,,,,,,,,,,,,,,,,
1978.0,,,,,,,,,,,,,,,,,,,,,,
1979.0,,,,,,,,,,,,,,,,,,,,,,
1980.0,,,,,,,,,,,,,,,,,,,,,,
1981.0,,,,,,,,,,,,,,,,,,,,,,
1982.0,,,,,,,,,,,,,,,,,,,,,,
1983.0,,,,,,,,,,,,,,,,,,,,,,
1984.0,,,,,,,,,,,,,,,,,,,,,,
1985.0,,,,,,,,,,,,,,,,,,,,,,
1986.0,,,,,,,,,,,,,,,,,,,,,,
1987.0,,,,,,,,,,,,,,,,,,,,,,
1988.0,,,,,,,,,,,,,,,,,,,,,,
1989.0,,,,,,,,,,,,,,,,,,,,,,
1990.0,,,,,,,,,,,,,,,,,,,,,,
1991.0,,,,,,,,,,,,,,,,,,,,,,
1992.0,,,,,,,,,,,,,,,,,,,,,,
1993.0,,,,,,,,,,,,,,,,,,,,,,
1994.0,,,,,,,,,,,,,,,,,,,,,,
1995.0,,,,,,,,,,,,,,,,,,,,,,
1996.0,2636.0,4198.0,67394.0,26368.0,,3260.0,1292185.0,1533.0,1141.0,1979622.0,,,2728.0,,914.0,,4666.0,,1417.0,,7725.0,2139.0
1997.0,3017.0,5902.0,67660.0,28408.0,,3505.0,1304641.0,1521.0,2006.0,1969331.0,,,3390.0,,854.0,480.0,4758.0,,1636.0,,8506.0,2247.0
1998.0,2976.0,5786.0,60923.0,30119.0,,3547.0,1226152.0,1324.0,2694.0,2010027.0,,,3947.0,,958.0,,4757.0,,1741.0,,8265.0,2633.0
1999.0,2862.0,7020.0,55065.0,31182.0,,3671.0,1257789.0,1398.0,3160.0,2092745.0,,,3953.0,,1087.0,54.0,4729.0,,1550.5,,7849.0,2106.0
2000.0,2894.0,7788.0,54008.0,33592.0,,4078.0,1333606.0,1921.0,3912.0,2140191.0,,,4051.0,,1233.0,,4576.0,,1980.0,,8918.0,2282.0
2001.0,2929.0,8222.0,47651.0,38049.0,,,1424980.0,2338.0,4481.0,2183277.0,,,4193.0,,1306.0,,4622.0,,2305.5,,9039.5,2929.0
2002.0,2190.0,9330.0,46560.0,40628.0,,,1521911.0,2000.0,5065.0,2200123.0,,,4891.0,,11.0,44.0,4943.0,,2483.0,,9715.5,2916.0
2003.0,2092.0,9283.0,47394.0,41314.0,,,1647558.0,2674.0,5538.5,2264983.0,,,5164.0,,1628.0,39.0,5110.0,,2297.75,,10080.0,2837.0
2004.0,,9567.0,48511.0,42300.0,,,1828548.0,2682.0,4862.0,2427268.0,,61000.0,1711.0,,1935.0,57.214,5524.0,,2082.0,,10373.0,3502.0
2005.0,2395.0,10311.0,44413.0,46164.0,,,1953336.0,2928.0,6127.1,2476653.0,,,1814.0,,,76.926,5825.0,,2143.0,,10209.5,
2006.0,,10152.0,42651.0,46486.4401216511,,,2055716.0,3447.0,7378.7,2586836.0,,,,7446.1,,,5744.0,,3795.0,,11280.0,
2007.0,,8153.0,43548.0,60126.1833922525,,,2211246.0,3910.0,6928.0,2584940.0,,69814.4773516638,,9393.5,,,5837.0,,4822.994240999999,,10996.235,5837.0
2008.0,,5683.1,39200.0,61088.5799351659,,,2510629.0,4106.0,6529.4,2594631.0,,,,,,,4959.0,,,,11566.0,
2009.0,,5777.0,29941.0,62083.4452958684,,,2523917.0,4139.0,5433.0,2236917.0,,,,,,,4111.0,,,,8523.45328624175,
2010.0,,6250.0,34327.0,64171.65588099231,,,2451185.0,3901.0,6227.5,2468738.0,,,,,,,5572.0,,,,9452.0,
2011.0,,6034.0,37189.0,59649.1846197319,,,2562635.0,4101.0,6054.8,2524585.0,,,,,,,5976.0,,,,9695.5,
2012.0,,4807.0,32904.0,,,,2518310.0,3959.0,5976.0,2500300.0,,,,,,,,,,,,
2013.0,,,33256.0,,,,2473477.0,3733.0,5539.6,2541354.0,,,,,,,,,,,,
2014.0,,,32017.0,,,,2308669.0,4251.9,4987.5,2702736.0,,70986.84714165599,,,,,5383.499,,,,,
2015.0,,,28720.0,,,,1980061.0,4125.4,4261.25,2547253.0,,73878.9676291815,,,,,4748.521,,,,,
2016.0,,,,,,,1920285.0,3190.0,3424.0,2314693.0,,,,,,,,,,,,
2017.0,,,,,,,2146466.0,3574.0,2963.0,2445132.0,,,,,,,3896.0,,,,,
2018.0,,,,,,,,,,,,,,,,,,,,,,
2019.0,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
