,Norway,Estonia,Poland,Australia,Vanuatu,New Zealand,China,Vietnam,Georgia,United States,Jamaica,Mexico,Argentina,Brazil,Chile,Nigeria,Morocco,Namibia,Middle income,Low income,High income,World
1960.0,,,,,,,,,,,,,,,,,,,,,,
1961.0,,,,,,,,,,,,,,,,,,,,,,
1962.0,,,,,,,,,,,,,,,,,,,,,,
1963.0,,,,,,,,,,,,,,,,,,,,,,
1964.0,,,,,,,,,,,,,,,,,,,,,,
1965.0,,,,,,,,,,,,,,,,,,,,,,
1966.0,,,,,,,,,,,,,,,,,,,,,,
1967.0,,,,,,,,,,,,,,,,,,,,,,
1968.0,,,,,,,,,,,,,,,,,,,,,,
1969.0,,,,,,,,,,,,,,,,,,,,,,
1970.0,,,,,,,,,,,,,,,,,,,,,,
1971.0,,,,,,,,,,,,,,,,,,,,,,
1972.0,,,,,,,,,,,,,,,,,,,,,,
1973.0,,,,,,,,,,,,,,,,,,,,,,
1974.0,,,,,,,,,,,,,,,,,,,,,,
1975.0,,,,,,,,,,,,,,,,,,,,,,
1976.0,,,,,,,,,,,,,,,,,,,,,,
1977.0,,,,,,,,,,,,,,,,,,,,,,
1978.0,,,,,,,,,,,,,,,,,,,,,,
1979.0,,,,,,,,,,,,,,,,,,,,,,
1980.0,,,,,,,,,,,,,,,,,,,,,,
1981.0,,,,,,,,,,,,,,,,,,,,,,
1982.0,,,,,,,,,,,,,,,,,,,,,,
1983.0,,,,,,,,,,,,,,,,,,,,,,
1984.0,,,,,,,,,,,,,,,,,,,,,,
1985.0,,,,,,,,,,,,,,,,,,,,,,
1986.0,,,,,,,,,,,,,,,,,,,,,,
1987.0,,,,,,,,,,,,,,,,,,,,,,
1988.0,,,,,,,,,,,,,,,,,,,,,,
1989.0,,,,,,,,,,,,,,,,,,,,,,
1990.0,2147920.0,773798.0,17624617.0,8498097.0,57928.0,1621375.0,641482846.0,32917142.0,2392172.0,127955107.0,1081570.0,29853135.0,13330394.0,60074663.0,5099786.0,29286947.0,7552137.0,447346.0,1704437332.0,136466455.0,480530747.0,2321434533.0
1991.0,2135449.0,766873.0,17741288.0,8542393.0,59812.0,1702678.0,649931318.0,33782813.0,2428865.0,128724306.0,1101566.0,30767050.0,13696710.0,61924698.0,5229691.0,30040723.0,7728988.0,462713.0,1737501420.0,140252709.0,485863248.0,2363617377.0
1992.0,2142750.0,751458.0,17825529.0,8616504.0,61823.0,1709718.0,660592692.0,34617220.0,2472499.0,130881564.0,1122006.0,31941483.0,14089488.0,63769094.0,5378308.0,30825405.0,7972259.0,477846.0,1773800212.0,144263267.0,488653254.0,2406716733.0
1993.0,2144831.0,732091.0,17784155.0,8651067.0,63962.0,1728019.0,672295634.0,35460735.0,2524692.0,132281740.0,1142050.0,33181671.0,14426480.0,65640106.0,5511443.0,31635860.0,8199987.0,493521.0,1808013424.0,148488981.0,491218206.0,2447720610.0
1994.0,2170149.0,716836.0,17597677.0,8819953.0,65665.0,1773639.0,683113470.0,36308409.0,2527888.0,134782362.0,1162151.0,33960446.0,14767350.0,67582745.0,5638161.0,32492025.0,8336938.0,509139.0,1844787386.0,152857774.0,496231291.0,2493876451.0
1995.0,2214762.0,704354.0,17390677.0,9024746.0,67634.0,1816972.0,691808351.0,37169638.0,2449858.0,136718757.0,1168910.0,34703968.0,14979213.0,69610036.0,5781391.0,33394658.0,8630156.0,517086.0,1877407767.0,157502903.0,501040493.0,2535951163.0
1996.0,2267529.0,693954.0,17329802.0,9153227.0,69255.0,1868348.0,704216903.0,37997674.0,2342682.0,138629458.0,1174864.0,35614580.0,15312968.0,69732948.0,5918467.0,34217680.0,8752431.0,523725.0,1912100131.0,161561421.0,505996454.0,2579658005.0
1997.0,2328932.0,695454.0,17195003.0,9219945.0,70642.0,1888204.0,712315453.0,38908306.0,2253862.0,141078174.0,1178379.0,37340658.0,15687072.0,72173319.0,6055550.0,35100936.0,9019399.0,531160.0,1946461922.0,165781916.0,511653211.0,2623897049.0
1998.0,2374899.0,680740.0,17230691.0,9321167.0,72028.0,1894176.0,718070870.0,39895677.0,2199226.0,142833616.0,1178903.0,38113060.0,16002610.0,74140590.0,6176561.0,36027324.0,9210729.0,549199.0,1979247127.0,170239779.0,515759461.0,2665246366.0
1999.0,2380166.0,673734.0,17165879.0,9414985.0,73736.0,1909755.0,724569908.0,40890401.0,2154741.0,144816843.0,1190196.0,38499234.0,16209281.0,76565679.0,6275428.0,37011197.0,9456404.0,567815.0,2017723722.0,175026111.0,520963222.0,2713713055.0
2000.0,2404600.0,679299.0,17318950.0,9601187.0,75327.0,1928886.0,733292392.0,41816352.0,2050201.0,146767130.0,1199964.0,39253418.0,16446835.0,78573635.0,6315826.0,37993680.0,9681638.0,586985.0,2052025404.0,179906680.0,526086720.0,2758018805.0
2001.0,2415947.0,669058.0,17575061.0,9787771.0,77907.0,1966167.0,737279754.0,42878133.0,2102132.0,147738635.0,1210051.0,39738979.0,16634521.0,80498221.0,6346098.0,38927763.0,9871789.0,603702.0,2081439002.0,184809695.0,529285342.0,2795534039.0
2002.0,2438080.0,654674.0,17379278.0,9944764.0,80914.0,2027864.0,743494680.0,43821508.0,2025598.0,148568986.0,1219647.0,40701145.0,16689404.0,83053192.0,6412943.0,39914966.0,10008981.0,620459.0,2114384750.0,190068124.0,533956101.0,2838408975.0
2003.0,2408232.0,677787.0,17300168.0,10124793.0,83563.0,2065641.0,750772785.0,44694516.0,2062455.0,149186504.0,1228548.0,41177206.0,17037741.0,84745847.0,6594985.0,40890770.0,10291621.0,637367.0,2148532007.0,195591477.0,538601368.0,2882724852.0
2004.0,2422666.0,678266.0,17265334.0,10245145.0,86256.0,2121367.0,757166810.0,45578939.0,2016350.0,150257786.0,1241658.0,42962596.0,17396580.0,87309369.0,6804392.0,41723316.0,10518528.0,654353.0,2186902455.0,201266907.0,543397799.0,2931567162.0
2005.0,2431376.0,673822.0,17529374.0,10554464.0,88803.0,2178594.0,761944037.0,46516141.0,2002620.0,152118714.0,1253714.0,44110186.0,17549561.0,89784647.0,7004262.0,42828205.0,10670390.0,671395.0,2220689299.0,207075884.0,550554357.0,2978319541.0
2006.0,2465936.0,693423.0,17324552.0,10799387.0,91538.0,2229990.0,766055387.0,47361650.0,2000597.0,153975992.0,1268277.0,45588363.0,17862877.0,90880684.0,7225386.0,43882211.0,10789910.0,690351.0,2244791368.0,212366762.0,557107166.0,3014265296.0
2007.0,2523355.0,692034.0,17328184.0,10968068.0,94223.0,2265374.0,768928092.0,48265578.0,1999505.0,155267878.0,1282357.0,46671659.0,17891188.0,92033856.0,7442378.0,45010413.0,10960699.0,708508.0,2271430723.0,217692042.0,563725131.0,3052847895.0
2008.0,2598721.0,697842.0,17564610.0,11257823.0,96718.0,2286703.0,770730704.0,49222606.0,2002094.0,157050379.0,1296648.0,47503138.0,17922661.0,93563450.0,7769315.0,46203876.0,11109339.0,726407.0,2293140715.0,223321635.0,570966874.0,3087429224.0
2009.0,2598586.0,690493.0,17832669.0,11493325.0,99541.0,2302498.0,771783104.0,50147028.0,1991863.0,157153235.0,1311664.0,48482135.0,18280431.0,95421720.0,7888523.0,47453585.0,11317538.0,744824.0,2316360661.0,228934135.0,574165942.0,3119460738.0
2010.0,2607609.0,683966.0,18035953.0,11690165.0,102679.0,2324565.0,772249983.0,51185007.0,2014694.0,156950122.0,1327196.0,49344235.0,18285303.0,95327604.0,8077538.0,48753690.0,11518458.0,764105.0,2335872092.0,234869141.0,577144836.0,3147886069.0
