,Norway,Estonia,Poland,Australia,Vanuatu,New Zealand,China,Vietnam,Georgia,United States,Jamaica,Mexico,Argentina,Brazil,Chile,Nigeria,Morocco,Namibia,Middle income,Low income,High income,World
1960.0,1787755.0,697034.0,14193968.0,8378309.0,6626.0,1802521.0,108085352.0,4802496.0,1570123.0,126462473.0,549935.0,19170352.0,15076842.0,33302773.0,5517095.0,6955836.0,3619287.0,113568.0,515979364.0,19967218.0,482770274.0,1018716856.0
1961.0,1840926.0,714269.0,14540630.0,8589875.0,6954.0,1851675.0,110327936.0,5060353.0,1613251.0,129276215.0,569620.0,20102588.0,15449950.0,35016991.0,5701397.0,7201117.0,3793981.0,119039.0,533596501.0,20917674.0,493762898.0,1048277073.0
1962.0,1915999.0,733452.0,14828737.0,8832932.0,7298.0,1914441.0,114685540.0,5330493.0,1656450.0,131988693.0,590782.0,21073602.0,15815502.0,36802627.0,5885933.0,7457989.0,3973644.0,124696.0,554230896.0,21898658.0,504025923.0,1080155477.0
1963.0,1991003.0,753250.0,15149001.0,9034955.0,7659.0,1967968.0,121162226.0,5613232.0,1699844.0,134615404.0,613059.0,22084931.0,16183085.0,38660045.0,6072572.0,7727058.0,4157554.0,130670.0,577579577.0,22930295.0,514482280.0,1114992152.0
1964.0,2066761.0,773863.0,15484714.0,9245383.0,8032.0,2024808.0,127791981.0,5908339.0,1743144.0,137215986.0,635873.0,23139154.0,16552517.0,40580114.0,6259549.0,8006714.0,4344789.0,136964.0,601654179.0,24030988.0,524975612.0,1150660779.0
1965.0,2143353.0,794190.0,15762096.0,9459784.0,8414.0,2073571.0,129348359.0,6216818.0,1785661.0,139663053.0,658674.0,24237674.0,16923103.0,42551349.0,6445199.0,8296672.0,4534015.0,143568.0,621104677.0,25216144.0,535316646.0,1181637467.0
1966.0,2220995.0,812599.0,16007142.0,9709943.0,8802.0,2125227.0,131746910.0,6538719.0,1825872.0,142008703.0,681315.0,25382261.0,17295214.0,44575894.0,6629130.0,8598473.0,4725536.0,150486.0,641467608.0,26492178.0,545274337.0,1213234123.0
1967.0,2299864.0,828812.0,16289779.0,9852991.0,9199.0,2175248.0,134196718.0,6873713.0,1863779.0,144288757.0,703944.0,26571109.0,17669088.0,46652819.0,6811425.0,8912312.0,4919278.0,157739.0,662392198.0,27861563.0,555045774.0,1245299535.0
1968.0,2379197.0,846346.0,16575555.0,10048170.0,9613.0,2206092.0,136747486.0,7220826.0,1900892.0,146463196.0,726974.0,27805279.0,18048312.0,48781907.0,6993121.0,9239985.0,5115538.0,165412.0,683969012.0,29444928.0,564205650.0,1277619590.0
1969.0,2457954.0,865089.0,16835934.0,10280809.0,10051.0,2237511.0,139527262.0,7577633.0,1939040.0,148629124.0,750889.0,29082637.0,18436396.0,50954990.0,7175381.0,9582595.0,5314872.0,173633.0,706311596.0,31210515.0,574494289.0,1312016400.0
1970.0,2534594.0,883329.0,17026266.0,10505755.0,10523.0,2279646.0,142386810.0,7943077.0,1977799.0,150922373.0,775090.0,30392017.0,18836987.0,53176875.0,7359558.0,9942429.0,5517951.0,182230.0,729332006.0,33026854.0,584037311.0,1346396171.0
1971.0,2584983.0,901671.0,17266414.0,10887779.0,11030.0,2324938.0,145443877.0,8183283.0,2017973.0,152865492.0,797092.0,31728525.0,19242926.0,55461933.0,7544840.0,10399975.0,5724770.0,190027.0,753526993.0,34562680.0,593667793.0,1381757466.0
1972.0,2624297.0,919299.0,17626595.0,11110846.0,11573.0,2375942.0,148131235.0,8422825.0,2058158.0,154531732.0,820386.0,33104916.0,19659181.0,57797612.0,7732140.0,10881921.0,5956616.0,198374.0,778729803.0,36164159.0,602899473.0,1417793435.0
1973.0,2662165.0,935590.0,18005216.0,11303156.0,12148.0,2432441.0,151552570.0,8662663.0,2096177.0,156034954.0,844481.0,34514970.0,20084772.0,60184827.0,7921011.0,11392924.0,6196966.0,207037.0,805356238.0,37828162.0,611474223.0,1454658623.0
1974.0,2698139.0,951152.0,18398446.0,11614598.0,12750.0,2493343.0,155688522.0,8904815.0,2134443.0,157488501.0,868705.0,35952171.0,20514213.0,62641530.0,8111311.0,11942552.0,6447913.0,215719.0,833378479.0,39570509.0,620913653.0,1493862641.0
